value,count
0,0
1,0
2,0
3,0
4,1
5,2
6,4
7,23
8,44
9,39
10,61
11,78
12,106
13,157
14,220
15,353
16,449
17,678
18,792
19,1081
20,1298
21,1451
22,1722
23,1808
24,1839
25,1970
26,1998
27,2082
28,2151
29,2500
30,2729
31,2753
32,2846
33,2908
34,3113
35,3095
36,3050
37,3046
38,2854
39,2787
40,2527
41,2248
42,2131
43,1886
44,1874
45,1608
46,1474
47,1279
48,1112
49,959
50,867
51,783
52,700
53,638
54,605
55,571
56,515
57,432
58,402
59,317
60,343
61,310
62,241
63,267
64,205
65,191
66,175
67,155
68,128
69,137
70,119
71,104
72,113
73,104
74,94
75,113
76,80
77,73
78,82
79,67
80,75
81,65
82,57
83,69
84,68
85,47
86,57
87,42
88,52
89,51
90,37
91,42
92,43
93,42
94,36
95,39
96,34
97,32
98,29
99,34
100,37
101,30
102,31
103,32
104,30
105,33
106,19
107,31
108,19
109,28
110,25
111,21
112,23
113,12
114,21
115,17
116,27
117,19
118,9
119,20
120,16
121,21
122,14
123,15
124,19
125,14
126,15
127,10
128,21
129,20
130,7
131,19
132,8
133,9
134,16
135,8
136,8
137,12
138,11
139,12
140,7
141,10
142,5
143,9
144,11
145,11
146,5
147,7
148,6
149,3
150,9
151,6
152,7
153,7
154,8
155,7
156,6
157,9
158,4
159,8
160,6
161,8
162,7
163,4
164,6
165,8
166,13
167,2
168,5
169,7
170,8
171,4
172,7
173,7
174,2
175,5
176,4
177,5
178,5
179,2
180,2
181,5
182,1
183,4
184,5
185,2
186,3
187,6
188,3
189,4
190,4
191,7
192,1
193,2
194,3
195,1
196,6
197,4
198,4
199,3
200,5
201,2
202,3
203,2
204,4
205,4
206,2
207,3
208,6
209,2
210,4
211,2
212,4
213,3
214,4
215,3
216,5
217,2
218,2
219,5
220,3
221,0
222,4
223,1
224,0
225,2
226,0
227,3
228,4
229,3
230,2
231,0
232,1
233,2
234,2
235,0
236,0
237,0
238,3
239,1
240,0
241,0
242,2
243,1
244,1
245,0
246,0
247,0
248,0
249,1
250,1
251,1
252,0
253,1
254,5
255,1
