value,count
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,0
10,5
11,9
12,19
13,50
14,121
15,150
16,193
17,220
18,289
19,325
20,386
21,448
22,558
23,729
24,846
25,994
26,1238
27,1403
28,1575
29,1663
30,1762
31,1832
32,2130
33,2193
34,2426
35,2556
36,2479
37,2626
38,2680
39,2726
40,2806
41,2768
42,2722
43,2762
44,2807
45,2734
46,2640
47,2673
48,2618
49,2419
50,2490
51,2465
52,2336
53,2245
54,2231
55,2154
56,2117
57,2033
58,1783
59,1986
60,1946
61,1802
62,1798
63,1789
64,1633
65,1626
66,1551
67,1495
68,1417
69,1426
70,1316
71,1304
72,1210
73,1126
74,1137
75,1087
76,997
77,1084
78,948
79,977
80,970
81,963
82,939
83,869
84,844
85,845
86,889
87,843
88,795
89,781
90,695
91,681
92,669
93,679
94,656
95,658
96,627
97,653
98,623
99,534
100,514
101,494
102,518
103,471
104,509
105,525
106,468
107,457
108,461
109,429
110,386
111,396
112,382
113,360
114,385
115,354
116,363
117,308
118,316
119,320
120,294
121,313
122,290
123,281
124,258
125,263
126,276
127,262
128,295
129,227
130,268
131,250
132,246
133,263
134,243
135,203
136,229
137,235
138,207
139,206
140,195
141,213
142,218
143,210
144,205
145,224
146,204
147,239
148,231
149,215
150,247
151,218
152,215
153,231
154,227
155,214
156,204
157,196
158,204
159,196
160,177
161,228
162,156
163,189
164,189
165,177
166,187
167,132
168,131
169,87
170,89
171,98
172,86
173,72
174,66
175,74
176,60
177,49
178,49
179,45
180,54
181,63
182,67
183,50
184,64
185,61
186,59
187,56
188,59
189,52
190,54
191,52
192,35
193,46
194,35
195,35
196,35
197,40
198,38
199,28
200,37
201,42
202,37
203,32
204,32
205,30
206,24
207,38
208,34
209,37
210,31
211,33
212,31
213,33
214,37
215,29
216,33
217,33
218,22
219,21
220,22
221,25
222,22
223,14
224,19
225,25
226,17
227,11
228,12
229,14
230,14
231,14
232,8
233,7
234,11
235,6
236,12
237,10
238,5
239,12
240,7
241,7
242,5
243,7
244,4
245,10
246,5
247,12
248,12
249,13
250,18
251,8
252,18
253,16
254,24
255,12
