value,count
0,0
1,0
2,0
3,1
4,1
5,0
6,2
7,2
8,6
9,8
10,11
11,32
12,82
13,286
14,538
15,846
16,1218
17,1346
18,1570
19,1879
20,2166
21,2480
22,3048
23,3507
24,4050
25,4738
26,5187
27,6163
28,6795
29,6854
30,6812
31,6758
32,7073
33,7229
34,7153
35,7009
36,6841
37,6853
38,6521
39,6617
40,6461
41,6327
42,5981
43,6061
44,5879
45,5671
46,5566
47,5199
48,5017
49,4721
50,4341
51,4214
52,3859
53,3725
54,3396
55,3210
56,3061
57,2809
58,2729
59,2322
60,2173
61,2102
62,1974
63,1825
64,1741
65,1640
66,1565
67,1451
68,1457
69,1363
70,1279
71,1240
72,1220
73,1218
74,1088
75,1086
76,1082
77,1043
78,961
79,958
80,967
81,887
82,903
83,817
84,820
85,792
86,749
87,732
88,729
89,748
90,721
91,708
92,674
93,668
94,661
95,636
96,643
97,610
98,646
99,634
100,585
101,597
102,594
103,533
104,551
105,486
106,458
107,450
108,419
109,400
110,409
111,340
112,357
113,332
114,314
115,329
116,321
117,329
118,303
119,287
120,259
121,266
122,259
123,232
124,213
125,208
126,200
127,226
128,198
129,198
130,187
131,175
132,143
133,169
134,169
135,142
136,136
137,138
138,147
139,126
140,134
141,122
142,102
143,103
144,110
145,124
146,95
147,93
148,90
149,102
150,83
151,83
152,73
153,66
154,73
155,76
156,76
157,67
158,66
159,51
160,55
161,56
162,47
163,50
164,49
165,60
166,47
167,42
168,54
169,52
170,43
171,40
172,48
173,45
174,29
175,41
176,32
177,38
178,42
179,23
180,23
181,26
182,37
183,34
184,31
185,35
186,33
187,32
188,30
189,26
190,26
191,27
192,23
193,29
194,17
195,27
196,21
197,28
198,34
199,25
200,19
201,25
202,25
203,28
204,18
205,23
206,28
207,16
208,19
209,23
210,15
211,18
212,20
213,34
214,19
215,21
216,15
217,24
218,15
219,12
220,7
221,11
222,8
223,11
224,9
225,10
226,7
227,7
228,10
229,5
230,6
231,11
232,10
233,9
234,6
235,7
236,8
237,12
238,6
239,5
240,4
241,10
242,4
243,2
244,2
245,7
246,5
247,4
248,3
249,4
250,3
251,3
252,5
253,2
254,0
255,1
