value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,3
15,9
16,12
17,49
18,92
19,171
20,254
21,319
22,414
23,580
24,759
25,801
26,868
27,1010
28,1079
29,1291
30,1411
31,1411
32,1630
33,1685
34,1894
35,1841
36,1887
37,1956
38,2112
39,2207
40,2270
41,2213
42,2167
43,2095
44,2017
45,1785
46,1683
47,1609
48,1436
49,1311
50,1193
51,1088
52,978
53,926
54,908
55,869
56,742
57,750
58,656
59,598
60,543
61,533
62,474
63,418
64,384
65,374
66,350
67,282
68,277
69,292
70,251
71,231
72,237
73,200
74,176
75,142
76,153
77,132
78,123
79,134
80,114
81,111
82,106
83,91
84,93
85,86
86,86
87,70
88,70
89,63
90,54
91,65
92,57
93,54
94,43
95,50
96,50
97,50
98,40
99,36
100,30
101,30
102,42
103,26
104,40
105,35
106,15
107,23
108,16
109,18
110,10
111,16
112,27
113,20
114,10
115,10
116,4
117,5
118,5
119,3
120,7
121,2
122,2
123,1
124,4
125,2
126,5
127,1
128,1
129,1
130,0
131,0
132,2
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
