value,count
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,2
9,10
10,19
11,30
12,49
13,80
14,117
15,207
16,311
17,474
18,787
19,1137
20,1653
21,2265
22,3273
23,4688
24,6491
25,7546
26,8559
27,9575
28,10250
29,10722
30,10991
31,11436
32,11896
33,12333
34,12535
35,12404
36,12440
37,12131
38,12295
39,12004
40,11731
41,11449
42,11112
43,10822
44,10527
45,10191
46,10036
47,9852
48,9438
49,8904
50,8771
51,8415
52,8192
53,7665
54,7226
55,7128
56,6963
57,6901
58,6363
59,6057
60,5744
61,5551
62,5363
63,4945
64,4815
65,4612
66,4217
67,4026
68,3753
69,3660
70,3460
71,3280
72,3014
73,2883
74,2741
75,2586
76,2385
77,2192
78,2115
79,2099
80,1953
81,1826
82,1803
83,1772
84,1843
85,1723
86,1669
87,1536
88,1461
89,1439
90,1385
91,1206
92,1140
93,1098
94,1042
95,1043
96,931
97,899
98,830
99,793
100,735
101,714
102,713
103,643
104,594
105,559
106,548
107,548
108,496
109,458
110,470
111,387
112,393
113,392
114,374
115,374
116,356
117,339
118,299
119,301
120,289
121,257
122,268
123,252
124,234
125,234
126,232
127,215
128,235
129,191
130,182
131,157
132,152
133,177
134,161
135,143
136,129
137,135
138,115
139,112
140,146
141,119
142,119
143,101
144,97
145,82
146,83
147,81
148,73
149,78
150,67
151,66
152,65
153,76
154,47
155,52
156,44
157,55
158,44
159,45
160,50
161,30
162,31
163,29
164,39
165,38
166,37
167,35
168,32
169,39
170,29
171,23
172,16
173,29
174,22
175,21
176,30
177,27
178,22
179,13
180,24
181,13
182,17
183,21
184,17
185,18
186,11
187,28
188,28
189,15
190,15
191,10
192,9
193,10
194,11
195,18
196,16
197,11
198,10
199,17
200,18
201,11
202,15
203,12
204,7
205,17
206,13
207,14
208,11
209,13
210,10
211,15
212,17
213,26
214,19
215,20
216,15
217,17
218,16
219,9
220,12
221,1
222,5
223,8
224,3
225,9
226,4
227,4
228,6
229,3
230,6
231,0
232,4
233,0
234,3
235,1
236,1
237,5
238,4
239,1
240,5
241,1
242,1
243,2
244,3
245,1
246,1
247,3
248,1
249,1
250,2
251,2
252,3
253,3
254,2
255,1
