value,count
0,0
1,0
2,0
3,2
4,10
5,46
6,159
7,339
8,915
9,1531
10,1782
11,1898
12,1606
13,1407
14,1451
15,1286
16,1517
17,1608
18,1776
19,2307
20,3095
21,4307
22,5443
23,7341
24,9102
25,11079
26,12832
27,13785
28,15068
29,16273
30,16552
31,17623
32,18567
33,18636
34,19421
35,20225
36,20713
37,21584
38,22022
39,22253
40,22602
41,22197
42,22510
43,22345
44,22478
45,22377
46,22566
47,21823
48,21099
49,19869
50,19473
51,18473
52,17727
53,17187
54,16584
55,15982
56,15316
57,14506
58,13871
59,13121
60,12569
61,11994
62,11351
63,10554
64,10504
65,9808
66,9389
67,8709
68,8047
69,7493
70,6982
71,6390
72,5971
73,5859
74,5214
75,4717
76,4566
77,4329
78,4038
79,3828
80,3556
81,3229
82,3016
83,2948
84,2889
85,2628
86,2468
87,2351
88,2234
89,2065
90,2056
91,2022
92,1805
93,1746
94,1620
95,1539
96,1542
97,1444
98,1314
99,1358
100,1114
101,1077
102,1104
103,1086
104,995
105,913
106,894
107,867
108,836
109,783
110,756
111,686
112,740
113,677
114,663
115,627
116,585
117,556
118,571
119,513
120,506
121,437
122,472
123,460
124,404
125,435
126,395
127,414
128,399
129,385
130,393
131,363
132,371
133,339
134,366
135,312
136,297
137,296
138,299
139,328
140,314
141,283
142,285
143,285
144,257
145,232
146,233
147,209
148,218
149,215
150,214
151,225
152,190
153,203
154,182
155,190
156,200
157,213
158,193
159,196
160,190
161,191
162,186
163,163
164,161
165,148
166,159
167,144
168,142
169,140
170,164
171,152
172,163
173,143
174,148
175,150
176,136
177,146
178,115
179,117
180,104
181,105
182,126
183,113
184,105
185,121
186,116
187,103
188,119
189,121
190,115
191,106
192,117
193,96
194,86
195,90
196,100
197,76
198,83
199,87
200,110
201,87
202,71
203,72
204,87
205,85
206,77
207,72
208,82
209,68
210,76
211,73
212,69
213,70
214,73
215,75
216,64
217,59
218,50
219,53
220,58
221,68
222,50
223,48
224,38
225,38
226,38
227,50
228,26
229,43
230,34
231,30
232,28
233,38
234,32
235,23
236,38
237,27
238,30
239,22
240,22
241,24
242,27
243,32
244,31
245,21
246,19
247,32
248,27
249,30
250,38
251,39
252,44
253,65
254,82
255,37
