value,count
0,0
1,0
2,0
3,0
4,0
5,1
6,2
7,3
8,5
9,14
10,31
11,107
12,226
13,384
14,486
15,636
16,697
17,665
18,823
19,885
20,1064
21,1077
22,1210
23,1395
24,1411
25,1541
26,1715
27,1831
28,2010
29,2233
30,2499
31,2643
32,2787
33,2936
34,3167
35,3290
36,3355
37,3437
38,3542
39,3659
40,3630
41,3931
42,3892
43,3729
44,3839
45,3769
46,3784
47,3658
48,3541
49,3438
50,3457
51,3469
52,3348
53,3361
54,3234
55,3412
56,3272
57,3392
58,3100
59,3029
60,3061
61,2979
62,3066
63,2902
64,2801
65,2770
66,2773
67,2733
68,2696
69,2623
70,2668
71,2668
72,2560
73,2469
74,2509
75,2511
76,2416
77,2496
78,2499
79,2537
80,2449
81,2389
82,2362
83,2468
84,2370
85,2280
86,2303
87,2354
88,2405
89,2300
90,2294
91,2431
92,2260
93,2218
94,2333
95,2328
96,2342
97,2298
98,2195
99,2243
100,2206
101,2252
102,2160
103,2179
104,2165
105,2249
106,2070
107,1993
108,2021
109,2003
110,1979
111,1906
112,1890
113,1904
114,1938
115,1818
116,1831
117,1730
118,1695
119,1754
120,1651
121,1641
122,1520
123,1566
124,1528
125,1467
126,1482
127,1468
128,1511
129,1386
130,1383
131,1315
132,1367
133,1315
134,1250
135,1248
136,1195
137,1201
138,1208
139,1165
140,1112
141,1102
142,1078
143,1022
144,976
145,934
146,913
147,917
148,844
149,828
150,805
151,731
152,738
153,579
154,631
155,579
156,499
157,435
158,447
159,404
160,385
161,383
162,330
163,289
164,310
165,255
166,256
167,262
168,223
169,208
170,239
171,212
172,190
173,163
174,176
175,137
176,141
177,117
178,118
179,114
180,85
181,106
182,113
183,121
184,82
185,81
186,95
187,79
188,85
189,82
190,81
191,63
192,76
193,69
194,64
195,80
196,36
197,58
198,61
199,58
200,49
201,52
202,55
203,52
204,34
205,45
206,43
207,56
208,39
209,50
210,33
211,33
212,34
213,37
214,33
215,27
216,27
217,29
218,20
219,18
220,19
221,13
222,14
223,17
224,11
225,14
226,14
227,15
228,6
229,13
230,7
231,8
232,7
233,3
234,9
235,9
236,3
237,10
238,9
239,13
240,6
241,10
242,3
243,4
244,5
245,4
246,1
247,3
248,5
249,5
250,5
251,2
252,6
253,7
254,7
255,1
