value,count
0,0
1,1
2,0
3,0
4,2
5,1
6,12
7,61
8,139
9,437
10,608
11,724
12,953
13,1211
14,1554
15,1923
16,2482
17,2878
18,3076
19,3394
20,3865
21,4696
22,5555
23,6229
24,7245
25,8151
26,9487
27,10628
28,12123
29,13204
30,13112
31,13946
32,14597
33,14600
34,14716
35,14642
36,14651
37,14500
38,14090
39,14165
40,14375
41,14283
42,13661
43,13170
44,12765
45,12059
46,11531
47,10667
48,9973
49,9173
50,8785
51,8241
52,7729
53,7284
54,6917
55,6392
56,6024
57,5639
58,5306
59,4965
60,4703
61,3988
62,3713
63,3556
64,3258
65,3059
66,2840
67,2688
68,2479
69,2318
70,2164
71,1966
72,1906
73,1653
74,1494
75,1483
76,1414
77,1319
78,1351
79,1218
80,1183
81,1182
82,1068
83,1065
84,1091
85,1036
86,982
87,941
88,834
89,810
90,785
91,762
92,731
93,720
94,676
95,691
96,666
97,635
98,610
99,641
100,554
101,521
102,510
103,515
104,432
105,399
106,403
107,389
108,356
109,401
110,373
111,376
112,329
113,329
114,299
115,297
116,281
117,282
118,264
119,255
120,225
121,243
122,236
123,225
124,215
125,177
126,177
127,196
128,198
129,179
130,174
131,157
132,166
133,166
134,146
135,141
136,132
137,132
138,125
139,127
140,153
141,129
142,122
143,110
144,93
145,118
146,112
147,95
148,108
149,105
150,92
151,98
152,94
153,92
154,93
155,104
156,99
157,94
158,81
159,104
160,75
161,109
162,83
163,70
164,74
165,73
166,72
167,54
168,62
169,76
170,56
171,65
172,50
173,54
174,59
175,66
176,52
177,78
178,59
179,42
180,43
181,25
182,21
183,21
184,24
185,11
186,24
187,29
188,32
189,22
190,28
191,21
192,20
193,21
194,26
195,20
196,13
197,19
198,22
199,11
200,14
201,19
202,16
203,16
204,8
205,18
206,11
207,12
208,22
209,13
210,10
211,12
212,14
213,13
214,11
215,11
216,7
217,14
218,13
219,7
220,9
221,14
222,9
223,9
224,8
225,11
226,7
227,8
228,4
229,6
230,6
231,6
232,4
233,7
234,5
235,6
236,8
237,4
238,7
239,5
240,10
241,5
242,9
243,8
244,11
245,13
246,10
247,14
248,7
249,8
250,12
251,9
252,11
253,17
254,7
255,3
