value,count
0,0
1,0
2,0
3,1
4,1
5,3
6,12
7,20
8,41
9,73
10,167
11,288
12,429
13,588
14,684
15,851
16,1034
17,1177
18,1341
19,1414
20,1433
21,1675
22,1910
23,1750
24,1568
25,1528
26,1633
27,1611
28,1675
29,1750
30,1764
31,1941
32,1926
33,1962
34,1976
35,1913
36,1888
37,1730
38,1581
39,1431
40,1405
41,1403
42,1340
43,1264
44,1210
45,1048
46,1021
47,981
48,888
49,753
50,707
51,654
52,617
53,625
54,535
55,505
56,448
57,448
58,401
59,407
60,380
61,402
62,355
63,286
64,260
65,258
66,260
67,260
68,205
69,192
70,213
71,184
72,194
73,140
74,158
75,132
76,126
77,132
78,110
79,98
80,110
81,123
82,98
83,89
84,88
85,80
86,89
87,84
88,87
89,66
90,81
91,68
92,66
93,62
94,61
95,51
96,61
97,33
98,38
99,46
100,40
101,42
102,47
103,45
104,40
105,38
106,30
107,29
108,39
109,50
110,41
111,32
112,31
113,40
114,27
115,14
116,20
117,16
118,12
119,9
120,7
121,5
122,16
123,11
124,10
125,9
126,10
127,8
128,9
129,5
130,14
131,4
132,10
133,10
134,13
135,5
136,5
137,4
138,10
139,6
140,5
141,3
142,6
143,4
144,8
145,2
146,10
147,7
148,5
149,3
150,3
151,8
152,3
153,6
154,9
155,7
156,5
157,9
158,6
159,4
160,2
161,2
162,2
163,4
164,5
165,4
166,3
167,5
168,1
169,3
170,3
171,6
172,3
173,0
174,3
175,3
176,0
177,2
178,3
179,3
180,1
181,4
182,1
183,1
184,1
185,2
186,1
187,1
188,0
189,2
190,2
191,3
192,1
193,1
194,1
195,0
196,1
197,0
198,2
199,0
200,0
201,1
202,0
203,0
204,0
205,0
206,1
207,0
208,0
209,3
210,0
211,0
212,0
213,1
214,2
215,1
216,0
217,0
218,0
219,0
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
