value,count
0,0
1,0
2,1
3,0
4,1
5,4
6,5
7,9
8,53
9,221
10,680
11,1274
12,1767
13,2812
14,3221
15,3366
16,4201
17,4419
18,4302
19,4870
20,5053
21,4579
22,4873
23,5201
24,5564
25,6164
26,6541
27,7089
28,7311
29,7461
30,7531
31,7457
32,7563
33,8011
34,8167
35,7823
36,8061
37,8067
38,7580
39,7618
40,7498
41,7341
42,6926
43,6715
44,6631
45,6507
46,6305
47,5834
48,5811
49,5549
50,5584
51,5248
52,4976
53,4956
54,4677
55,4416
56,4304
57,4229
58,4024
59,3841
60,3793
61,3663
62,3523
63,3391
64,3197
65,2959
66,2748
67,2679
68,2613
69,2587
70,2383
71,2312
72,2234
73,2164
74,2077
75,2034
76,1870
77,1834
78,1712
79,1776
80,1701
81,1632
82,1523
83,1470
84,1507
85,1407
86,1380
87,1351
88,1341
89,1309
90,1263
91,1264
92,1247
93,1141
94,1159
95,1169
96,1094
97,1055
98,1008
99,1027
100,970
101,878
102,849
103,815
104,795
105,811
106,717
107,718
108,621
109,637
110,555
111,597
112,563
113,540
114,514
115,550
116,489
117,461
118,499
119,462
120,489
121,450
122,445
123,382
124,427
125,401
126,364
127,423
128,356
129,356
130,331
131,345
132,333
133,285
134,296
135,261
136,241
137,270
138,241
139,235
140,250
141,211
142,227
143,227
144,199
145,200
146,217
147,206
148,170
149,180
150,163
151,160
152,136
153,162
154,146
155,148
156,152
157,163
158,153
159,157
160,182
161,156
162,125
163,176
164,149
165,133
166,121
167,133
168,125
169,131
170,129
171,102
172,74
173,99
174,95
175,87
176,69
177,75
178,72
179,64
180,68
181,49
182,52
183,46
184,36
185,30
186,39
187,32
188,25
189,30
190,31
191,32
192,16
193,27
194,19
195,20
196,28
197,19
198,15
199,18
200,22
201,12
202,21
203,19
204,15
205,15
206,13
207,15
208,12
209,14
210,14
211,16
212,8
213,15
214,11
215,11
216,17
217,7
218,8
219,5
220,7
221,12
222,8
223,7
224,5
225,3
226,4
227,8
228,9
229,5
230,3
231,6
232,5
233,4
234,4
235,9
236,3
237,4
238,7
239,6
240,7
241,3
242,7
243,6
244,4
245,3
246,6
247,4
248,3
249,5
250,1
251,3
252,2
253,3
254,1
255,0
