value,count
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,1
8,1
9,8
10,14
11,30
12,42
13,84
14,80
15,150
16,200
17,259
18,380
19,476
20,465
21,504
22,639
23,875
24,983
25,1104
26,1090
27,1163
28,1332
29,1515
30,1629
31,1840
32,1929
33,2120
34,2239
35,2238
36,2288
37,2312
38,2299
39,2377
40,2313
41,2212
42,2235
43,2072
44,1995
45,1859
46,1757
47,1628
48,1488
49,1352
50,1235
51,1100
52,989
53,837
54,717
55,659
56,598
57,567
58,476
59,441
60,363
61,360
62,290
63,238
64,249
65,204
66,152
67,152
68,132
69,138
70,109
71,114
72,99
73,105
74,98
75,78
76,75
77,80
78,78
79,67
80,58
81,74
82,57
83,48
84,57
85,56
86,53
87,45
88,36
89,42
90,36
91,46
92,47
93,48
94,49
95,31
96,49
97,38
98,28
99,35
100,22
101,33
102,28
103,30
104,26
105,25
106,22
107,21
108,23
109,30
110,22
111,16
112,27
113,13
114,18
115,22
116,20
117,18
118,25
119,13
120,23
121,15
122,17
123,13
124,18
125,12
126,16
127,15
128,12
129,20
130,25
131,15
132,10
133,16
134,11
135,14
136,9
137,14
138,13
139,5
140,12
141,17
142,7
143,16
144,8
145,6
146,10
147,14
148,14
149,10
150,16
151,10
152,7
153,17
154,12
155,5
156,6
157,9
158,8
159,12
160,14
161,2
162,12
163,6
164,8
165,10
166,2
167,9
168,11
169,8
170,4
171,6
172,4
173,4
174,8
175,8
176,9
177,4
178,4
179,5
180,4
181,4
182,3
183,7
184,4
185,6
186,4
187,9
188,5
189,4
190,2
191,6
192,4
193,2
194,7
195,4
196,6
197,4
198,6
199,4
200,2
201,2
202,1
203,6
204,6
205,2
206,4
207,2
208,6
209,6
210,6
211,4
212,3
213,1
214,6
215,1
216,3
217,3
218,4
219,0
220,4
221,1
222,2
223,0
224,1
225,0
226,2
227,2
228,2
229,1
230,0
231,2
232,0
233,2
234,0
235,1
236,0
237,1
238,0
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,0
