value,count
0,0
1,0
2,0
3,1
4,0
5,0
6,1
7,1
8,1
9,1
10,2
11,1
12,2
13,8
14,7
15,17
16,21
17,55
18,79
19,97
20,150
21,238
22,319
23,379
24,505
25,695
26,788
27,1018
28,1055
29,1166
30,1410
31,1563
32,1675
33,1756
34,1777
35,1925
36,2033
37,2174
38,2267
39,2487
40,2622
41,2773
42,2889
43,3126
44,3238
45,3336
46,3496
47,3556
48,3675
49,3543
50,3692
51,3716
52,3754
53,3771
54,3945
55,4074
56,4081
57,4195
58,4404
59,4281
60,4168
61,4022
62,3883
63,3894
64,3744
65,3504
66,3415
67,3377
68,3423
69,3116
70,3097
71,3114
72,2935
73,2632
74,2660
75,2517
76,2397
77,2386
78,2252
79,2045
80,1990
81,1824
82,1839
83,1657
84,1686
85,1567
86,1433
87,1415
88,1301
89,1265
90,1181
91,1065
92,981
93,966
94,901
95,832
96,870
97,806
98,780
99,762
100,725
101,634
102,645
103,605
104,589
105,542
106,500
107,522
108,460
109,430
110,384
111,377
112,343
113,305
114,296
115,287
116,258
117,206
118,214
119,203
120,200
121,172
122,213
123,151
124,178
125,175
126,153
127,160
128,169
129,158
130,143
131,133
132,134
133,138
134,128
135,117
136,100
137,112
138,103
139,99
140,102
141,104
142,99
143,82
144,99
145,88
146,91
147,70
148,80
149,86
150,59
151,70
152,84
153,69
154,82
155,74
156,62
157,58
158,57
159,74
160,44
161,52
162,52
163,42
164,59
165,53
166,39
167,48
168,42
169,29
170,46
171,35
172,34
173,40
174,34
175,18
176,25
177,18
178,14
179,15
180,22
181,20
182,23
183,19
184,15
185,18
186,14
187,19
188,17
189,22
190,16
191,18
192,14
193,8
194,12
195,19
196,10
197,11
198,7
199,18
200,25
201,10
202,9
203,15
204,12
205,13
206,10
207,9
208,12
209,12
210,2
211,14
212,10
213,11
214,4
215,11
216,6
217,12
218,9
219,12
220,9
221,8
222,7
223,7
224,5
225,5
226,6
227,4
228,8
229,6
230,10
231,3
232,7
233,5
234,4
235,2
236,5
237,7
238,6
239,8
240,4
241,13
242,8
243,4
244,7
245,6
246,5
247,6
248,5
249,1
250,8
251,5
252,12
253,12
254,16
255,4
