value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,5
9,8
10,51
11,65
12,93
13,145
14,170
15,212
16,279
17,322
18,446
19,587
20,610
21,656
22,803
23,870
24,980
25,836
26,834
27,945
28,1008
29,1090
30,1176
31,1170
32,1179
33,1341
34,1457
35,1419
36,1608
37,1694
38,1764
39,1744
40,1659
41,1730
42,1810
43,1811
44,1824
45,1966
46,2025
47,2002
48,1979
49,1906
50,1828
51,1755
52,1842
53,1748
54,1574
55,1577
56,1460
57,1404
58,1341
59,1328
60,1210
61,1178
62,1115
63,1078
64,1017
65,930
66,922
67,859
68,824
69,793
70,749
71,664
72,634
73,588
74,643
75,621
76,544
77,483
78,476
79,496
80,370
81,383
82,331
83,350
84,309
85,287
86,272
87,263
88,235
89,212
90,187
91,198
92,171
93,160
94,166
95,127
96,126
97,131
98,103
99,98
100,110
101,90
102,92
103,61
104,49
105,67
106,66
107,58
108,56
109,40
110,42
111,57
112,36
113,37
114,52
115,31
116,32
117,36
118,28
119,32
120,28
121,27
122,28
123,28
124,19
125,13
126,25
127,22
128,10
129,13
130,27
131,17
132,23
133,25
134,18
135,16
136,17
137,17
138,15
139,16
140,18
141,18
142,16
143,14
144,18
145,21
146,12
147,21
148,13
149,12
150,10
151,8
152,7
153,7
154,12
155,8
156,11
157,9
158,10
159,12
160,8
161,4
162,6
163,7
164,10
165,8
166,8
167,10
168,6
169,7
170,7
171,6
172,6
173,3
174,8
175,5
176,4
177,2
178,2
179,6
180,5
181,9
182,5
183,5
184,6
185,5
186,4
187,12
188,3
189,5
190,3
191,3
192,4
193,4
194,2
195,5
196,4
197,8
198,6
199,2
200,4
201,4
202,5
203,3
204,6
205,2
206,3
207,3
208,1
209,3
210,4
211,2
212,5
213,5
214,3
215,2
216,5
217,2
218,2
219,0
220,0
221,0
222,3
223,1
224,0
225,0
226,0
227,1
228,0
229,0
230,0
231,0
232,0
233,1
234,0
235,1
236,0
237,1
238,0
239,0
240,0
241,0
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,0
