value,count
0,0
1,0
2,0
3,1
4,0
5,0
6,1
7,1
8,0
9,1
10,5
11,1
12,4
13,10
14,18
15,51
16,99
17,157
18,236
19,366
20,475
21,613
22,690
23,801
24,1053
25,1378
26,1884
27,2204
28,2441
29,2813
30,3464
31,4014
32,4582
33,4974
34,5288
35,5738
36,6636
37,7659
38,8182
39,8757
40,9328
41,9815
42,10651
43,11047
44,11485
45,11697
46,11888
47,12143
48,12285
49,12257
50,12035
51,11880
52,11765
53,11363
54,11083
55,10277
56,10089
57,9756
58,9468
59,8692
60,8250
61,7531
62,7253
63,6735
64,6200
65,5724
66,5431
67,5080
68,4678
69,4356
70,3983
71,3629
72,3425
73,2956
74,2760
75,2555
76,2460
77,2131
78,2036
79,1784
80,1769
81,1655
82,1577
83,1404
84,1331
85,1267
86,1177
87,1130
88,1071
89,1052
90,962
91,902
92,898
93,857
94,848
95,812
96,763
97,804
98,729
99,738
100,700
101,731
102,657
103,624
104,529
105,553
106,492
107,496
108,452
109,471
110,429
111,391
112,389
113,368
114,387
115,353
116,350
117,317
118,307
119,285
120,261
121,273
122,278
123,238
124,248
125,237
126,264
127,184
128,209
129,207
130,198
131,169
132,169
133,143
134,165
135,153
136,156
137,146
138,130
139,134
140,120
141,122
142,105
143,143
144,117
145,119
146,108
147,109
148,114
149,110
150,110
151,99
152,97
153,64
154,86
155,79
156,79
157,77
158,75
159,86
160,75
161,78
162,69
163,77
164,73
165,74
166,81
167,86
168,81
169,67
170,62
171,79
172,65
173,47
174,46
175,41
176,49
177,33
178,62
179,64
180,50
181,55
182,38
183,62
184,56
185,53
186,53
187,41
188,50
189,54
190,52
191,50
192,61
193,45
194,47
195,40
196,29
197,43
198,54
199,50
200,42
201,41
202,61
203,40
204,52
205,36
206,41
207,46
208,40
209,49
210,45
211,41
212,33
213,34
214,27
215,33
216,26
217,39
218,30
219,22
220,31
221,25
222,23
223,22
224,21
225,31
226,29
227,22
228,26
229,17
230,18
231,21
232,13
233,17
234,19
235,18
236,14
237,24
238,13
239,20
240,14
241,20
242,12
243,14
244,15
245,15
246,20
247,19
248,17
249,24
250,30
251,39
252,38
253,46
254,49
255,28
