value,count
0,0
1,0
2,1
3,0
4,2
5,14
6,31
7,121
8,187
9,401
10,643
11,726
12,962
13,1147
14,1119
15,1174
16,1392
17,1283
18,1336
19,1606
20,1527
21,1661
22,2011
23,2253
24,2071
25,1895
26,1950
27,2218
28,2426
29,2785
30,2998
31,3367
32,3829
33,4293
34,4563
35,4722
36,5050
37,5280
38,5587
39,5669
40,5524
41,5453
42,5262
43,5600
44,5792
45,5872
46,5854
47,5608
48,5451
49,5210
50,4791
51,4616
52,4356
53,3952
54,3976
55,3762
56,3528
57,3146
58,2959
59,2848
60,2640
61,2422
62,2189
63,1932
64,1738
65,1643
66,1417
67,1275
68,1212
69,1104
70,1124
71,1028
72,866
73,820
74,747
75,745
76,634
77,619
78,517
79,504
80,489
81,427
82,405
83,353
84,343
85,345
86,328
87,328
88,281
89,271
90,263
91,217
92,219
93,229
94,206
95,181
96,187
97,167
98,164
99,157
100,175
101,155
102,138
103,128
104,143
105,126
106,120
107,100
108,120
109,116
110,104
111,104
112,96
113,117
114,79
115,88
116,88
117,79
118,76
119,73
120,90
121,68
122,72
123,84
124,64
125,83
126,68
127,63
128,59
129,61
130,55
131,62
132,55
133,40
134,46
135,49
136,45
137,58
138,51
139,38
140,36
141,42
142,49
143,37
144,52
145,46
146,35
147,48
148,42
149,41
150,50
151,32
152,35
153,39
154,23
155,33
156,51
157,29
158,30
159,26
160,24
161,30
162,25
163,28
164,20
165,33
166,22
167,30
168,25
169,20
170,35
171,24
172,24
173,26
174,20
175,32
176,24
177,21
178,15
179,19
180,27
181,14
182,20
183,22
184,18
185,23
186,23
187,19
188,15
189,19
190,28
191,14
192,17
193,24
194,21
195,17
196,11
197,25
198,10
199,24
200,19
201,9
202,15
203,22
204,14
205,17
206,13
207,26
208,19
209,10
210,19
211,19
212,16
213,19
214,12
215,12
216,9
217,10
218,9
219,13
220,12
221,11
222,9
223,7
224,3
225,6
226,7
227,7
228,6
229,4
230,5
231,8
232,0
233,5
234,7
235,5
236,5
237,3
238,7
239,4
240,0
241,0
242,2
243,7
244,3
245,2
246,0
247,1
248,2
249,2
250,3
251,5
252,4
253,4
254,4
255,1
