value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,9
11,15
12,58
13,151
14,184
15,267
16,454
17,556
18,751
19,1109
20,1862
21,2415
22,2992
23,3227
24,3707
25,4352
26,4870
27,5192
28,5137
29,5126
30,5377
31,5385
32,5622
33,5539
34,5122
35,5018
36,4837
37,4787
38,4417
39,4223
40,4115
41,3998
42,3828
43,3715
44,3709
45,3630
46,3452
47,3371
48,3223
49,3130
50,2956
51,2891
52,2810
53,2835
54,2566
55,2524
56,2499
57,2339
58,2307
59,2226
60,2108
61,2105
62,1980
63,1879
64,1899
65,1801
66,1733
67,1646
68,1592
69,1479
70,1460
71,1423
72,1395
73,1432
74,1356
75,1269
76,1264
77,1184
78,1142
79,1060
80,1142
81,1029
82,1034
83,971
84,934
85,935
86,892
87,887
88,854
89,864
90,815
91,795
92,764
93,737
94,729
95,766
96,702
97,697
98,676
99,678
100,582
101,620
102,574
103,524
104,539
105,469
106,465
107,457
108,404
109,385
110,380
111,358
112,367
113,325
114,328
115,322
116,298
117,266
118,269
119,272
120,258
121,283
122,245
123,266
124,245
125,256
126,289
127,263
128,240
129,243
130,264
131,245
132,258
133,254
134,268
135,191
136,226
137,200
138,220
139,244
140,240
141,193
142,227
143,201
144,212
145,214
146,193
147,204
148,196
149,180
150,178
151,184
152,158
153,160
154,194
155,175
156,201
157,184
158,195
159,167
160,163
161,183
162,149
163,168
164,141
165,150
166,146
167,132
168,145
169,110
170,115
171,105
172,101
173,99
174,118
175,86
176,98
177,83
178,74
179,53
180,59
181,55
182,73
183,56
184,50
185,50
186,39
187,43
188,32
189,29
190,18
191,18
192,14
193,10
194,11
195,21
196,9
197,13
198,9
199,8
200,11
201,6
202,5
203,1
204,10
205,3
206,4
207,6
208,6
209,5
210,3
211,5
212,6
213,1
214,3
215,3
216,1
217,1
218,3
219,1
220,1
221,1
222,0
223,1
224,0
225,1
226,0
227,0
228,1
229,1
230,0
231,1
232,2
233,0
234,0
235,0
236,1
237,1
238,0
239,0
240,2
241,0
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
