value,count
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,4
8,1
9,3
10,10
11,13
12,17
13,36
14,79
15,198
16,370
17,511
18,753
19,1241
20,2054
21,3131
22,4539
23,5975
24,7169
25,8693
26,10188
27,11538
28,12934
29,13479
30,13541
31,13029
32,13364
33,13383
34,13485
35,13378
36,13670
37,13346
38,13199
39,12909
40,12725
41,12640
42,12154
43,11913
44,11365
45,10986
46,10516
47,10187
48,9723
49,9472
50,8907
51,8615
52,8232
53,7959
54,7535
55,7194
56,6522
57,6314
58,5821
59,5549
60,5051
61,4629
62,4169
63,3777
64,3563
65,3153
66,2930
67,2683
68,2385
69,2206
70,2073
71,1817
72,1731
73,1613
74,1524
75,1425
76,1340
77,1226
78,1214
79,1042
80,1061
81,932
82,889
83,856
84,800
85,796
86,736
87,715
88,643
89,648
90,593
91,571
92,507
93,500
94,480
95,463
96,455
97,433
98,379
99,366
100,347
101,365
102,365
103,309
104,308
105,266
106,272
107,256
108,232
109,232
110,267
111,231
112,187
113,205
114,182
115,187
116,171
117,176
118,148
119,158
120,154
121,156
122,144
123,160
124,162
125,115
126,114
127,138
128,131
129,120
130,104
131,99
132,106
133,105
134,82
135,96
136,79
137,91
138,86
139,80
140,79
141,73
142,83
143,65
144,82
145,59
146,49
147,60
148,53
149,59
150,48
151,63
152,45
153,59
154,46
155,54
156,42
157,49
158,42
159,45
160,33
161,47
162,48
163,33
164,38
165,40
166,43
167,46
168,39
169,48
170,41
171,21
172,46
173,27
174,33
175,25
176,29
177,34
178,21
179,28
180,30
181,16
182,33
183,31
184,30
185,27
186,22
187,30
188,21
189,27
190,34
191,28
192,24
193,16
194,20
195,17
196,15
197,25
198,19
199,22
200,16
201,18
202,17
203,20
204,15
205,16
206,17
207,16
208,22
209,17
210,21
211,11
212,11
213,13
214,17
215,13
216,15
217,16
218,7
219,11
220,13
221,16
222,13
223,12
224,10
225,8
226,9
227,9
228,6
229,5
230,4
231,7
232,6
233,5
234,4
235,11
236,8
237,8
238,5
239,5
240,3
241,9
242,8
243,4
244,8
245,8
246,6
247,7
248,4
249,13
250,12
251,10
252,6
253,8
254,5
255,2
