value,count
0,0
1,0
2,1
3,0
4,1
5,2
6,0
7,0
8,3
9,6
10,7
11,8
12,24
13,47
14,70
15,137
16,228
17,262
18,370
19,516
20,665
21,819
22,1122
23,1517
24,1996
25,2554
26,3098
27,3554
28,4032
29,4537
30,4952
31,5375
32,5699
33,5754
34,5821
35,5797
36,5787
37,5631
38,5459
39,5235
40,5072
41,4849
42,4769
43,4637
44,4406
45,4354
46,4182
47,3927
48,3780
49,3612
50,3428
51,3288
52,3176
53,2946
54,2759
55,2492
56,2414
57,2321
58,2262
59,2073
60,2029
61,1887
62,1703
63,1594
64,1535
65,1509
66,1334
67,1388
68,1267
69,1303
70,1152
71,1084
72,1079
73,949
74,1003
75,915
76,863
77,863
78,822
79,761
80,748
81,781
82,744
83,686
84,659
85,633
86,630
87,595
88,615
89,611
90,582
91,548
92,542
93,564
94,526
95,524
96,522
97,493
98,494
99,439
100,454
101,442
102,400
103,401
104,405
105,371
106,368
107,320
108,363
109,349
110,294
111,264
112,275
113,261
114,259
115,252
116,228
117,212
118,224
119,213
120,189
121,186
122,176
123,162
124,165
125,156
126,151
127,155
128,166
129,136
130,113
131,147
132,126
133,130
134,114
135,114
136,111
137,101
138,90
139,84
140,99
141,111
142,94
143,83
144,94
145,67
146,72
147,70
148,69
149,70
150,68
151,74
152,73
153,67
154,53
155,63
156,53
157,60
158,57
159,62
160,56
161,70
162,73
163,65
164,47
165,47
166,56
167,49
168,58
169,50
170,47
171,62
172,45
173,42
174,34
175,42
176,48
177,38
178,27
179,25
180,24
181,33
182,30
183,18
184,23
185,24
186,31
187,21
188,17
189,23
190,27
191,15
192,20
193,17
194,26
195,14
196,24
197,31
198,19
199,14
200,13
201,25
202,23
203,17
204,21
205,17
206,16
207,21
208,15
209,17
210,8
211,15
212,15
213,18
214,9
215,17
216,15
217,7
218,10
219,12
220,7
221,9
222,9
223,6
224,9
225,9
226,5
227,9
228,6
229,5
230,11
231,7
232,10
233,6
234,11
235,12
236,5
237,3
238,2
239,4
240,5
241,7
242,5
243,6
244,3
245,3
246,5
247,4
248,8
249,4
250,5
251,9
252,4
253,9
254,12
255,3
