value,count
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,5
8,30
9,79
10,236
11,451
12,501
13,713
14,952
15,1202
16,2148
17,2502
18,2877
19,3564
20,4332
21,5126
22,5788
23,6217
24,6609
25,7867
26,8625
27,9569
28,9973
29,10274
30,10222
31,10241
32,10649
33,11067
34,11216
35,11034
36,10946
37,10660
38,10366
39,10135
40,9961
41,9726
42,9237
43,8891
44,8572
45,8127
46,7846
47,7290
48,6992
49,6697
50,6222
51,6058
52,5910
53,5459
54,5070
55,4511
56,4196
57,3871
58,3838
59,3576
60,3379
61,2912
62,2790
63,2466
64,2430
65,2245
66,2118
67,1960
68,1795
69,1552
70,1492
71,1473
72,1317
73,1226
74,1140
75,1013
76,1010
77,1014
78,893
79,863
80,837
81,741
82,681
83,655
84,663
85,623
86,641
87,616
88,610
89,536
90,542
91,500
92,462
93,427
94,428
95,451
96,388
97,367
98,334
99,350
100,379
101,319
102,310
103,309
104,319
105,298
106,267
107,259
108,245
109,244
110,227
111,218
112,225
113,187
114,191
115,191
116,194
117,196
118,198
119,175
120,175
121,154
122,166
123,168
124,145
125,135
126,136
127,149
128,161
129,127
130,119
131,118
132,120
133,105
134,114
135,89
136,105
137,90
138,92
139,97
140,91
141,68
142,93
143,94
144,88
145,62
146,87
147,75
148,85
149,60
150,72
151,63
152,74
153,55
154,49
155,38
156,39
157,35
158,49
159,46
160,37
161,35
162,39
163,36
164,43
165,29
166,35
167,33
168,28
169,37
170,45
171,28
172,41
173,28
174,24
175,21
176,26
177,27
178,23
179,23
180,20
181,25
182,21
183,18
184,19
185,16
186,27
187,19
188,21
189,23
190,18
191,19
192,18
193,18
194,11
195,10
196,18
197,19
198,11
199,15
200,15
201,13
202,15
203,5
204,13
205,10
206,11
207,8
208,7
209,9
210,8
211,10
212,9
213,8
214,5
215,10
216,7
217,6
218,8
219,8
220,7
221,6
222,3
223,8
224,7
225,1
226,4
227,9
228,5
229,7
230,3
231,2
232,4
233,2
234,6
235,6
236,3
237,4
238,5
239,2
240,2
241,6
242,2
243,6
244,4
245,8
246,4
247,6
248,0
249,9
250,7
251,7
252,9
253,12
254,12
255,3
