value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,2
7,1
8,10
9,2
10,12
11,43
12,59
13,159
14,202
15,272
16,404
17,436
18,544
19,599
20,693
21,706
22,879
23,935
24,866
25,800
26,840
27,889
28,945
29,1048
30,1051
31,1081
32,1206
33,1419
34,1469
35,1594
36,1578
37,1709
38,1737
39,1914
40,1833
41,1833
42,1923
43,2010
44,1901
45,2086
46,2072
47,1982
48,2022
49,2030
50,1889
51,1854
52,1928
53,1814
54,1820
55,1691
56,1715
57,1536
58,1458
59,1319
60,1238
61,1143
62,1030
63,959
64,947
65,814
66,784
67,663
68,622
69,634
70,578
71,481
72,391
73,357
74,315
75,296
76,310
77,244
78,257
79,247
80,197
81,202
82,185
83,143
84,158
85,162
86,129
87,131
88,123
89,127
90,87
91,105
92,97
93,80
94,87
95,81
96,57
97,83
98,65
99,85
100,72
101,68
102,69
103,49
104,61
105,51
106,72
107,44
108,49
109,48
110,33
111,39
112,34
113,43
114,42
115,27
116,30
117,31
118,23
119,15
120,20
121,30
122,22
123,25
124,29
125,27
126,30
127,22
128,25
129,31
130,22
131,15
132,17
133,17
134,15
135,20
136,17
137,16
138,21
139,15
140,24
141,19
142,21
143,19
144,22
145,17
146,16
147,10
148,11
149,12
150,24
151,16
152,17
153,14
154,13
155,12
156,9
157,14
158,13
159,11
160,12
161,9
162,8
163,12
164,14
165,12
166,13
167,17
168,6
169,8
170,11
171,9
172,10
173,8
174,4
175,8
176,9
177,5
178,6
179,5
180,7
181,11
182,8
183,8
184,7
185,7
186,7
187,11
188,6
189,9
190,7
191,9
192,1
193,5
194,4
195,5
196,3
197,10
198,14
199,5
200,8
201,2
202,11
203,6
204,6
205,3
206,6
207,2
208,7
209,8
210,7
211,6
212,6
213,7
214,3
215,5
216,4
217,1
218,7
219,4
220,3
221,0
222,3
223,2
224,2
225,2
226,2
227,2
228,1
229,1
230,0
231,3
232,0
233,1
234,2
235,1
236,0
237,0
238,1
239,2
240,0
241,0
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,0
