value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,2
10,2
11,8
12,26
13,83
14,140
15,129
16,207
17,240
18,249
19,303
20,335
21,341
22,347
23,343
24,382
25,433
26,512
27,632
28,759
29,978
30,1197
31,1314
32,1545
33,1741
34,1988
35,2130
36,2320
37,2504
38,2674
39,2847
40,2956
41,3066
42,3044
43,3040
44,3045
45,3001
46,3012
47,2933
48,2738
49,2714
50,2700
51,2658
52,2502
53,2409
54,2259
55,2126
56,1996
57,1874
58,1664
59,1660
60,1509
61,1446
62,1509
63,1428
64,1310
65,1198
66,1118
67,1181
68,1077
69,1004
70,961
71,923
72,952
73,905
74,842
75,703
76,784
77,656
78,712
79,653
80,604
81,535
82,532
83,530
84,517
85,473
86,513
87,501
88,458
89,453
90,442
91,429
92,435
93,404
94,422
95,420
96,410
97,387
98,411
99,365
100,392
101,380
102,365
103,357
104,314
105,340
106,310
107,295
108,340
109,310
110,310
111,285
112,256
113,288
114,263
115,275
116,273
117,256
118,231
119,235
120,218
121,217
122,190
123,187
124,170
125,158
126,162
127,155
128,158
129,159
130,133
131,134
132,119
133,118
134,116
135,89
136,92
137,83
138,82
139,109
140,118
141,82
142,86
143,99
144,88
145,82
146,67
147,87
148,64
149,74
150,75
151,72
152,75
153,68
154,86
155,56
156,56
157,59
158,59
159,53
160,61
161,58
162,51
163,45
164,48
165,41
166,40
167,46
168,56
169,41
170,41
171,38
172,42
173,38
174,42
175,45
176,34
177,27
178,30
179,30
180,31
181,27
182,25
183,31
184,30
185,37
186,35
187,29
188,28
189,24
190,24
191,27
192,22
193,25
194,18
195,27
196,20
197,23
198,21
199,21
200,20
201,12
202,17
203,15
204,21
205,20
206,20
207,19
208,20
209,14
210,22
211,15
212,21
213,25
214,17
215,18
216,15
217,17
218,18
219,16
220,11
221,12
222,12
223,16
224,10
225,10
226,8
227,12
228,7
229,3
230,10
231,4
232,6
233,5
234,6
235,6
236,10
237,3
238,2
239,3
240,1
241,2
242,5
243,5
244,11
245,6
246,8
247,5
248,2
249,4
250,9
251,5
252,8
253,10
254,14
255,4
