value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,3
10,5
11,11
12,39
13,60
14,105
15,219
16,385
17,617
18,734
19,852
20,887
21,1039
22,1383
23,1804
24,2455
25,3161
26,3913
27,4729
28,5108
29,5293
30,5508
31,5594
32,5747
33,5486
34,5394
35,5560
36,5617
37,5731
38,5792
39,5686
40,5722
41,5551
42,5561
43,5315
44,5188
45,5006
46,4768
47,4684
48,4491
49,4358
50,4323
51,4130
52,3926
53,3833
54,3844
55,3689
56,3661
57,3713
58,3483
59,3374
60,3371
61,3304
62,3071
63,3021
64,2809
65,2801
66,2638
67,2583
68,2452
69,2374
70,2174
71,2237
72,2077
73,2044
74,1907
75,1795
76,1796
77,1715
78,1649
79,1650
80,1501
81,1491
82,1458
83,1366
84,1282
85,1208
86,1151
87,1185
88,1138
89,1052
90,1019
91,984
92,940
93,863
94,899
95,866
96,814
97,756
98,739
99,758
100,718
101,703
102,688
103,646
104,588
105,586
106,505
107,426
108,437
109,445
110,410
111,392
112,345
113,347
114,327
115,288
116,285
117,267
118,262
119,248
120,233
121,190
122,194
123,187
124,203
125,168
126,163
127,171
128,166
129,122
130,109
131,129
132,90
133,104
134,109
135,98
136,101
137,83
138,77
139,73
140,62
141,62
142,55
143,55
144,69
145,43
146,58
147,62
148,51
149,54
150,60
151,50
152,37
153,42
154,28
155,47
156,48
157,54
158,46
159,54
160,48
161,42
162,45
163,51
164,38
165,42
166,52
167,42
168,36
169,30
170,29
171,31
172,29
173,29
174,30
175,19
176,23
177,16
178,18
179,20
180,15
181,13
182,15
183,12
184,14
185,9
186,11
187,10
188,10
189,12
190,13
191,4
192,4
193,10
194,7
195,10
196,9
197,3
198,6
199,5
200,2
201,2
202,1
203,4
204,2
205,2
206,2
207,2
208,0
209,4
210,3
211,2
212,1
213,2
214,0
215,0
216,2
217,1
218,0
219,0
220,1
221,2
222,0
223,1
224,1
225,0
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
