value,count
0,0
1,0
2,0
3,1
4,10
5,37
6,104
7,189
8,261
9,407
10,554
11,722
12,1179
13,1224
14,1656
15,1691
16,2025
17,2027
18,2251
19,2328
20,2272
21,2279
22,2287
23,1882
24,1756
25,1855
26,1776
27,1845
28,1967
29,1929
30,2002
31,1901
32,1909
33,1766
34,1653
35,1547
36,1511
37,1518
38,1354
39,1183
40,1188
41,1030
42,1044
43,954
44,912
45,803
46,770
47,659
48,588
49,601
50,510
51,460
52,414
53,396
54,352
55,317
56,293
57,294
58,255
59,199
60,185
61,171
62,162
63,117
64,117
65,111
66,104
67,98
68,83
69,81
70,67
71,59
72,63
73,35
74,35
75,34
76,38
77,41
78,21
79,35
80,21
81,22
82,29
83,36
84,32
85,21
86,26
87,24
88,14
89,13
90,21
91,10
92,19
93,18
94,17
95,16
96,15
97,13
98,9
99,12
100,12
101,12
102,12
103,12
104,7
105,7
106,10
107,10
108,7
109,4
110,9
111,9
112,8
113,5
114,11
115,8
116,5
117,2
118,5
119,8
120,3
121,5
122,6
123,4
124,1
125,3
126,5
127,7
128,4
129,3
130,9
131,1
132,4
133,1
134,2
135,3
136,3
137,5
138,4
139,2
140,2
141,4
142,1
143,3
144,2
145,2
146,4
147,2
148,5
149,3
150,5
151,2
152,1
153,3
154,4
155,0
156,1
157,1
158,3
159,2
160,0
161,1
162,0
163,2
164,2
165,1
166,3
167,1
168,1
169,0
170,2
171,0
172,3
173,2
174,2
175,2
176,0
177,0
178,1
179,2
180,0
181,1
182,1
183,0
184,0
185,0
186,0
187,1
188,1
189,1
190,0
191,1
192,1
193,1
194,4
195,0
196,2
197,1
198,0
199,0
200,0
201,2
202,0
203,0
204,0
205,1
206,0
207,1
208,0
209,2
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
