value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,8
9,38
10,55
11,74
12,102
13,143
14,221
15,291
16,421
17,589
18,787
19,1058
20,1435
21,1656
22,1854
23,2178
24,2370
25,2489
26,2497
27,2656
28,2826
29,3070
30,3404
31,3727
32,4071
33,4507
34,4673
35,4597
36,4801
37,5186
38,5405
39,5459
40,5775
41,5855
42,5988
43,6095
44,6333
45,6351
46,6576
47,6755
48,6478
49,6259
50,6305
51,6376
52,6235
53,6179
54,6021
55,5857
56,5683
57,5558
58,5487
59,5397
60,5202
61,4959
62,4585
63,4618
64,4113
65,3973
66,3577
67,3296
68,3092
69,2986
70,2805
71,2550
72,2420
73,2131
74,2067
75,1853
76,1800
77,1618
78,1516
79,1392
80,1365
81,1308
82,1060
83,1132
84,1044
85,974
86,949
87,934
88,810
89,753
90,731
91,669
92,629
93,596
94,532
95,544
96,479
97,420
98,456
99,360
100,363
101,361
102,350
103,331
104,311
105,344
106,293
107,272
108,291
109,276
110,248
111,254
112,230
113,216
114,206
115,208
116,186
117,195
118,189
119,164
120,152
121,169
122,165
123,151
124,155
125,148
126,142
127,139
128,127
129,153
130,119
131,118
132,133
133,123
134,127
135,114
136,120
137,115
138,107
139,92
140,98
141,83
142,84
143,93
144,109
145,85
146,105
147,69
148,95
149,85
150,78
151,95
152,90
153,78
154,89
155,61
156,88
157,61
158,74
159,57
160,80
161,69
162,69
163,66
164,65
165,80
166,62
167,62
168,73
169,56
170,75
171,70
172,52
173,60
174,64
175,53
176,52
177,50
178,48
179,41
180,42
181,38
182,30
183,39
184,33
185,35
186,33
187,44
188,52
189,30
190,37
191,35
192,45
193,31
194,38
195,32
196,37
197,29
198,33
199,25
200,29
201,34
202,22
203,25
204,28
205,17
206,18
207,15
208,17
209,19
210,12
211,11
212,7
213,9
214,9
215,5
216,3
217,4
218,6
219,4
220,1
221,2
222,2
223,2
224,0
225,2
226,0
227,2
228,0
229,1
230,1
231,1
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,0
