value,count
0,525
1,0
2,0
3,0
4,1
5,4
6,9
7,17
8,91
9,201
10,366
11,578
12,761
13,1102
14,1321
15,1554
16,1730
17,1818
18,1984
19,2054
20,2231
21,2506
22,2653
23,2926
24,3387
25,3721
26,4060
27,4314
28,4658
29,4798
30,5082
31,5364
32,5570
33,5808
34,6000
35,6192
36,6386
37,6291
38,6182
39,6414
40,6365
41,6407
42,6321
43,6419
44,6466
45,6474
46,6213
47,6217
48,6041
49,5946
50,5650
51,5531
52,5492
53,5539
54,5394
55,5239
56,4979
57,4809
58,4719
59,4545
60,4406
61,4166
62,4075
63,3706
64,3494
65,3310
66,3060
67,2864
68,2759
69,2523
70,2285
71,2293
72,2141
73,1963
74,1790
75,1707
76,1656
77,1481
78,1406
79,1200
80,1196
81,1056
82,943
83,837
84,779
85,677
86,565
87,543
88,440
89,384
90,320
91,345
92,289
93,247
94,249
95,211
96,200
97,189
98,202
99,184
100,196
101,151
102,155
103,166
104,137
105,144
106,151
107,136
108,111
109,106
110,106
111,105
112,114
113,102
114,96
115,110
116,108
117,99
118,73
119,90
120,89
121,92
122,84
123,91
124,93
125,81
126,68
127,79
128,77
129,78
130,62
131,66
132,73
133,65
134,64
135,63
136,66
137,56
138,71
139,63
140,73
141,70
142,59
143,54
144,69
145,56
146,74
147,87
148,82
149,64
150,86
151,93
152,93
153,103
154,79
155,84
156,90
157,80
158,81
159,91
160,76
161,81
162,74
163,88
164,78
165,106
166,100
167,99
168,93
169,103
170,109
171,101
172,84
173,93
174,85
175,86
176,67
177,81
178,75
179,64
180,68
181,53
182,52
183,58
184,40
185,35
186,33
187,36
188,19
189,7
190,11
191,6
192,12
193,6
194,5
195,5
196,4
197,3
198,6
199,4
200,6
201,4
202,6
203,8
204,8
205,7
206,3
207,3
208,5
209,7
210,5
211,2
212,3
213,2
214,3
215,4
216,4
217,1
218,2
219,1
220,1
221,1
222,1
223,1
224,1
225,0
226,1
227,2
228,2
229,0
230,0
231,1
232,0
233,2
234,0
235,0
236,0
237,1
238,1
239,0
240,0
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,1
249,0
250,1
251,0
252,0
253,1
254,0
255,1
