value,count
0,31
1,0
2,0
3,0
4,0
5,1
6,1
7,2
8,2
9,5
10,19
11,62
12,169
13,275
14,405
15,492
16,595
17,608
18,656
19,766
20,874
21,1102
22,1506
23,1728
24,2032
25,2297
26,2328
27,2568
28,2744
29,2747
30,2958
31,2912
32,2965
33,2947
34,3034
35,2939
36,2929
37,2933
38,2850
39,2770
40,2780
41,2714
42,2749
43,2950
44,2762
45,2565
46,2370
47,2264
48,2169
49,1963
50,1952
51,1903
52,1945
53,1851
54,1930
55,1833
56,1764
57,1768
58,1611
59,1525
60,1554
61,1481
62,1352
63,1228
64,1253
65,1236
66,1161
67,1053
68,996
69,946
70,977
71,933
72,904
73,802
74,843
75,775
76,745
77,723
78,702
79,719
80,632
81,625
82,646
83,626
84,614
85,584
86,550
87,555
88,562
89,538
90,533
91,514
92,517
93,464
94,522
95,487
96,494
97,482
98,460
99,453
100,383
101,391
102,399
103,394
104,399
105,382
106,350
107,317
108,344
109,332
110,323
111,316
112,286
113,255
114,271
115,262
116,260
117,253
118,243
119,238
120,229
121,229
122,219
123,219
124,238
125,62
126,70
127,85
128,85
129,71
130,91
131,56
132,46
133,49
134,52
135,43
136,43
137,42
138,37
139,49
140,41
141,29
142,39
143,36
144,39
145,42
146,38
147,41
148,23
149,30
150,40
151,23
152,46
153,28
154,18
155,24
156,30
157,33
158,28
159,29
160,21
161,22
162,31
163,28
164,25
165,29
166,20
167,14
168,26
169,29
170,16
171,17
172,27
173,18
174,18
175,18
176,19
177,13
178,23
179,8
180,14
181,22
182,14
183,13
184,16
185,20
186,12
187,15
188,7
189,14
190,19
191,17
192,12
193,12
194,5
195,9
196,11
197,9
198,9
199,10
200,10
201,7
202,8
203,14
204,5
205,7
206,4
207,5
208,3
209,4
210,6
211,3
212,4
213,2
214,4
215,3
216,1
217,3
218,2
219,3
220,2
221,0
222,0
223,2
224,1
225,2
226,1
227,1
228,4
229,3
230,2
231,1
232,1
233,0
234,3
235,0
236,1
237,0
238,1
239,1
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,1
248,0
249,0
250,1
251,1
252,0
253,0
254,0
255,0
