value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,16
13,61
14,117
15,163
16,241
17,302
18,340
19,360
20,434
21,438
22,476
23,473
24,431
25,461
26,478
27,492
28,540
29,585
30,681
31,753
32,748
33,913
34,1028
35,1125
36,1309
37,1465
38,1462
39,1606
40,1799
41,1907
42,1982
43,1997
44,1945
45,2074
46,1907
47,1875
48,1737
49,1618
50,1561
51,1454
52,1317
53,1189
54,1105
55,1013
56,947
57,882
58,738
59,643
60,603
61,526
62,512
63,492
64,476
65,415
66,354
67,304
68,276
69,261
70,237
71,210
72,214
73,198
74,198
75,161
76,133
77,153
78,136
79,141
80,111
81,114
82,94
83,104
84,98
85,88
86,82
87,45
88,49
89,46
90,48
91,39
92,30
93,29
94,33
95,20
96,35
97,24
98,22
99,17
100,19
101,26
102,15
103,13
104,18
105,14
106,12
107,21
108,12
109,14
110,17
111,8
112,14
113,14
114,7
115,14
116,5
117,14
118,8
119,9
120,8
121,7
122,9
123,13
124,7
125,8
126,8
127,3
128,9
129,7
130,5
131,7
132,6
133,5
134,4
135,4
136,6
137,4
138,4
139,6
140,2
141,1
142,3
143,3
144,2
145,3
146,2
147,1
148,2
149,4
150,2
151,1
152,0
153,4
154,2
155,4
156,3
157,1
158,1
159,3
160,1
161,2
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,1
170,0
171,0
172,1
173,0
174,1
175,0
176,0
177,0
178,1
179,1
180,0
181,0
182,0
183,1
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
