value,count
0,53
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,4
11,1
12,10
13,20
14,28
15,64
16,105
17,179
18,304
19,521
20,823
21,1253
22,1523
23,1896
24,2428
25,2694
26,2792
27,2952
28,2897
29,2885
30,3032
31,3031
32,3025
33,2949
34,2772
35,2670
36,2474
37,2241
38,2054
39,1899
40,1815
41,1662
42,1653
43,1511
44,1509
45,1416
46,1307
47,1204
48,1123
49,1094
50,999
51,924
52,880
53,875
54,823
55,868
56,798
57,730
58,707
59,659
60,626
61,583
62,518
63,499
64,482
65,448
66,420
67,406
68,411
69,385
70,360
71,330
72,333
73,300
74,300
75,262
76,263
77,253
78,228
79,270
80,237
81,213
82,210
83,224
84,196
85,163
86,200
87,200
88,192
89,182
90,167
91,153
92,144
93,134
94,169
95,127
96,135
97,128
98,151
99,139
100,123
101,99
102,123
103,106
104,74
105,65
106,82
107,84
108,54
109,58
110,68
111,44
112,49
113,57
114,45
115,44
116,32
117,47
118,30
119,52
120,30
121,37
122,27
123,29
124,28
125,35
126,25
127,32
128,35
129,27
130,23
131,12
132,21
133,9
134,19
135,13
136,18
137,11
138,11
139,8
140,11
141,9
142,8
143,11
144,13
145,15
146,8
147,8
148,5
149,10
150,9
151,7
152,3
153,8
154,5
155,9
156,6
157,6
158,5
159,7
160,8
161,4
162,5
163,9
164,5
165,5
166,12
167,7
168,3
169,7
170,9
171,7
172,5
173,2
174,3
175,12
176,5
177,2
178,2
179,6
180,4
181,2
182,4
183,5
184,5
185,2
186,4
187,4
188,6
189,4
190,3
191,6
192,4
193,6
194,2
195,3
196,4
197,1
198,3
199,6
200,0
201,2
202,4
203,5
204,3
205,5
206,6
207,5
208,2
209,1
210,1
211,3
212,2
213,2
214,2
215,2
216,3
217,2
218,2
219,3
220,2
221,0
222,2
223,0
224,2
225,2
226,3
227,0
228,2
229,5
230,1
231,2
232,1
233,5
234,3
235,2
236,3
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,0
245,0
246,0
247,2
248,1
249,0
250,2
251,2
252,2
253,1
254,0
255,0
