value,count
0,0
1,0
2,0
3,0
4,1
5,1
6,2
7,3
8,15
9,95
10,155
11,201
12,266
13,369
14,409
15,504
16,576
17,801
18,1048
19,1424
20,2029
21,2934
22,4096
23,5170
24,6094
25,6805
26,7569
27,7900
28,8211
29,8261
30,8811
31,8832
32,9013
33,9022
34,8725
35,8484
36,8040
37,7910
38,7788
39,7403
40,7702
41,7344
42,7360
43,7181
44,7100
45,6617
46,6312
47,5951
48,5540
49,5197
50,4763
51,4498
52,4359
53,4096
54,4020
55,3875
56,3551
57,3387
58,3079
59,2945
60,2691
61,2531
62,2306
63,2279
64,2115
65,2041
66,1984
67,1886
68,1790
69,1652
70,1663
71,1598
72,1523
73,1472
74,1454
75,1391
76,1277
77,1326
78,1253
79,1204
80,1226
81,1141
82,903
83,885
84,887
85,904
86,890
87,835
88,857
89,785
90,810
91,721
92,820
93,785
94,750
95,770
96,717
97,678
98,654
99,672
100,636
101,581
102,538
103,538
104,477
105,532
106,464
107,456
108,436
109,374
110,391
111,385
112,330
113,399
114,358
115,317
116,356
117,334
118,318
119,322
120,279
121,280
122,261
123,301
124,251
125,271
126,250
127,237
128,239
129,253
130,244
131,234
132,181
133,206
134,196
135,186
136,184
137,176
138,184
139,202
140,137
141,167
142,170
143,145
144,152
145,164
146,134
147,135
148,123
149,135
150,119
151,120
152,109
153,101
154,111
155,114
156,89
157,108
158,89
159,100
160,89
161,83
162,93
163,83
164,85
165,102
166,99
167,87
168,95
169,79
170,90
171,77
172,59
173,55
174,77
175,44
176,42
177,33
178,33
179,35
180,24
181,27
182,27
183,36
184,29
185,41
186,33
187,44
188,27
189,26
190,42
191,25
192,33
193,20
194,20
195,19
196,22
197,27
198,18
199,21
200,26
201,20
202,23
203,8
204,11
205,20
206,14
207,13
208,16
209,17
210,11
211,14
212,15
213,18
214,16
215,12
216,10
217,9
218,12
219,14
220,4
221,9
222,10
223,5
224,12
225,7
226,6
227,9
228,7
229,5
230,8
231,6
232,6
233,6
234,3
235,9
236,3
237,2
238,3
239,6
240,2
241,1
242,1
243,3
244,5
245,0
246,4
247,2
248,6
249,2
250,3
251,1
252,0
253,0
254,0
255,0
