value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,2
18,10
19,8
20,18
21,19
22,38
23,58
24,103
25,150
26,181
27,239
28,268
29,334
30,382
31,455
32,556
33,617
34,669
35,725
36,866
37,967
38,1069
39,1172
40,1268
41,1418
42,1497
43,1541
44,1574
45,1596
46,1596
47,1636
48,1571
49,1452
50,1482
51,1387
52,1415
53,1393
54,1325
55,1265
56,1157
57,1084
58,1040
59,996
60,871
61,854
62,802
63,707
64,609
65,570
66,550
67,467
68,446
69,421
70,403
71,396
72,336
73,330
74,295
75,294
76,248
77,248
78,222
79,230
80,198
81,165
82,132
83,170
84,130
85,124
86,116
87,96
88,104
89,99
90,84
91,74
92,73
93,63
94,65
95,66
96,66
97,53
98,59
99,55
100,57
101,41
102,31
103,37
104,37
105,39
106,34
107,45
108,30
109,40
110,33
111,23
112,28
113,26
114,28
115,17
116,17
117,26
118,17
119,23
120,26
121,12
122,14
123,10
124,9
125,25
126,11
127,10
128,9
129,12
130,8
131,14
132,14
133,9
134,10
135,5
136,14
137,7
138,6
139,19
140,9
141,12
142,9
143,4
144,8
145,6
146,7
147,6
148,7
149,6
150,4
151,2
152,6
153,1
154,2
155,3
156,5
157,4
158,2
159,3
160,2
161,0
162,1
163,3
164,0
165,3
166,2
167,0
168,2
169,2
170,4
171,2
172,0
173,1
174,1
175,1
176,2
177,2
178,1
179,5
180,1
181,2
182,2
183,0
184,0
185,0
186,0
187,2
188,0
189,0
190,0
191,1
192,1
193,0
194,1
195,0
196,0
197,0
198,0
199,1
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
