value,count
0,1
1,0
2,0
3,1
4,1
5,7
6,4
7,8
8,10
9,38
10,115
11,227
12,504
13,678
14,947
15,1165
16,1425
17,1714
18,2099
19,2535
20,2954
21,3424
22,3836
23,4006
24,4270
25,4288
26,4360
27,4518
28,4415
29,4437
30,4586
31,4537
32,4562
33,4517
34,4490
35,4552
36,4483
37,4289
38,4248
39,3974
40,3897
41,3812
42,3652
43,3636
44,3465
45,3240
46,3235
47,3226
48,3081
49,2987
50,2827
51,2617
52,2474
53,2376
54,2214
55,2036
56,1979
57,1877
58,1819
59,1824
60,1775
61,1602
62,1556
63,1441
64,1368
65,1258
66,1201
67,1245
68,1096
69,1116
70,1030
71,989
72,998
73,954
74,924
75,900
76,868
77,882
78,823
79,795
80,762
81,785
82,696
83,703
84,707
85,616
86,652
87,595
88,595
89,584
90,546
91,567
92,476
93,515
94,525
95,478
96,530
97,486
98,407
99,328
100,343
101,341
102,313
103,318
104,295
105,289
106,284
107,275
108,290
109,285
110,264
111,256
112,251
113,251
114,241
115,205
116,230
117,226
118,193
119,206
120,216
121,202
122,190
123,187
124,170
125,178
126,174
127,181
128,162
129,140
130,128
131,135
132,120
133,124
134,131
135,112
136,138
137,138
138,121
139,85
140,103
141,95
142,67
143,70
144,78
145,71
146,59
147,66
148,74
149,69
150,59
151,63
152,68
153,60
154,54
155,45
156,54
157,43
158,62
159,56
160,61
161,49
162,69
163,42
164,47
165,49
166,44
167,48
168,39
169,25
170,21
171,23
172,27
173,18
174,16
175,23
176,17
177,21
178,23
179,18
180,19
181,15
182,21
183,16
184,13
185,7
186,17
187,10
188,17
189,16
190,17
191,15
192,11
193,14
194,12
195,19
196,18
197,14
198,8
199,13
200,5
201,8
202,11
203,19
204,14
205,8
206,13
207,7
208,12
209,12
210,11
211,9
212,9
213,6
214,12
215,12
216,14
217,10
218,6
219,10
220,8
221,6
222,3
223,10
224,4
225,5
226,7
227,3
228,4
229,6
230,4
231,3
232,1
233,1
234,7
235,3
236,4
237,2
238,4
239,4
240,2
241,1
242,1
243,0
244,2
245,1
246,2
247,3
248,4
249,3
250,2
251,3
252,5
253,1
254,3
255,1
