value,count
0,5
1,0
2,0
3,2
4,5
5,72
6,292
7,624
8,1218
9,1436
10,1955
11,1747
12,1839
13,1859
14,2194
15,2774
16,3745
17,5137
18,7106
19,9163
20,11741
21,14474
22,16599
23,17987
24,19534
25,20019
26,18827
27,18127
28,17326
29,16299
30,16083
31,15379
32,14498
33,14375
34,14321
35,13900
36,13375
37,12587
38,11778
39,10979
40,10216
41,9483
42,9071
43,8995
44,8660
45,8308
46,8076
47,7677
48,7284
49,6748
50,6249
51,5586
52,5335
53,4719
54,4174
55,4050
56,3816
57,3685
58,3370
59,3172
60,3024
61,2882
62,2617
63,2400
64,2271
65,2110
66,1918
67,1848
68,1667
69,1612
70,1511
71,1473
72,1343
73,1269
74,1123
75,1092
76,1063
77,973
78,1005
79,901
80,800
81,751
82,758
83,708
84,672
85,635
86,629
87,635
88,576
89,608
90,579
91,564
92,587
93,524
94,530
95,525
96,495
97,477
98,435
99,460
100,424
101,378
102,391
103,391
104,384
105,378
106,362
107,378
108,321
109,195
110,222
111,217
112,198
113,203
114,181
115,181
116,162
117,177
118,173
119,132
120,163
121,141
122,148
123,163
124,144
125,154
126,148
127,136
128,140
129,137
130,142
131,142
132,111
133,106
134,131
135,131
136,118
137,118
138,115
139,115
140,101
141,110
142,116
143,107
144,106
145,120
146,97
147,110
148,101
149,103
150,108
151,126
152,93
153,84
154,94
155,98
156,91
157,92
158,98
159,95
160,91
161,107
162,86
163,83
164,89
165,102
166,84
167,86
168,86
169,95
170,76
171,78
172,66
173,109
174,95
175,102
176,67
177,89
178,99
179,75
180,83
181,85
182,66
183,53
184,49
185,52
186,47
187,52
188,56
189,58
190,47
191,57
192,50
193,52
194,55
195,45
196,52
197,49
198,43
199,35
200,54
201,50
202,49
203,53
204,36
205,40
206,46
207,46
208,39
209,31
210,36
211,25
212,25
213,26
214,31
215,29
216,24
217,30
218,25
219,29
220,25
221,23
222,16
223,18
224,21
225,19
226,18
227,14
228,16
229,16
230,17
231,15
232,10
233,21
234,22
235,19
236,18
237,18
238,20
239,12
240,13
241,16
242,15
243,17
244,10
245,18
246,14
247,14
248,9
249,6
250,11
251,16
252,14
253,10
254,12
255,10
