value,count
0,1
1,1
2,0
3,1
4,0
5,4
6,5
7,29
8,130
9,458
10,1020
11,1548
12,1800
13,1788
14,1896
15,2222
16,2487
17,2864
18,3556
19,4556
20,5401
21,6163
22,6639
23,6818
24,7181
25,7314
26,7411
27,7702
28,7874
29,8430
30,9094
31,9120
32,9264
33,9628
34,10008
35,10157
36,10150
37,10720
38,10572
39,10528
40,10170
41,9745
42,9024
43,8556
44,8104
45,7588
46,7161
47,6903
48,6441
49,6043
50,5543
51,5051
52,4661
53,4309
54,4000
55,3769
56,3522
57,3510
58,3384
59,3257
60,3079
61,2994
62,2761
63,2638
64,2486
65,2404
66,2102
67,1974
68,1996
69,1777
70,1722
71,1673
72,1594
73,1573
74,1445
75,1388
76,1301
77,1271
78,1245
79,1225
80,969
81,758
82,678
83,621
84,576
85,578
86,536
87,505
88,501
89,523
90,479
91,431
92,430
93,409
94,401
95,359
96,349
97,350
98,346
99,318
100,326
101,304
102,307
103,273
104,287
105,294
106,277
107,270
108,250
109,279
110,219
111,235
112,217
113,206
114,215
115,186
116,169
117,179
118,143
119,183
120,163
121,135
122,165
123,131
124,154
125,152
126,147
127,125
128,135
129,125
130,118
131,128
132,127
133,120
134,129
135,107
136,101
137,122
138,115
139,87
140,91
141,80
142,96
143,96
144,96
145,108
146,94
147,87
148,90
149,94
150,97
151,70
152,78
153,86
154,79
155,85
156,65
157,74
158,49
159,66
160,57
161,85
162,64
163,61
164,64
165,52
166,37
167,71
168,42
169,45
170,35
171,41
172,47
173,47
174,50
175,44
176,43
177,37
178,42
179,33
180,45
181,41
182,36
183,51
184,38
185,28
186,31
187,29
188,29
189,29
190,28
191,26
192,24
193,15
194,25
195,19
196,20
197,19
198,12
199,14
200,11
201,8
202,19
203,12
204,19
205,10
206,9
207,13
208,14
209,11
210,15
211,11
212,12
213,15
214,12
215,15
216,8
217,10
218,6
219,9
220,4
221,10
222,5
223,8
224,7
225,10
226,8
227,6
228,4
229,6
230,6
231,8
232,10
233,6
234,7
235,5
236,12
237,7
238,12
239,13
240,7
241,5
242,9
243,11
244,7
245,5
246,11
247,8
248,9
249,14
250,4
251,3
252,4
253,4
254,1
255,0
