value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,5
7,9
8,33
9,98
10,204
11,301
12,409
13,454
14,538
15,535
16,553
17,574
18,606
19,665
20,593
21,660
22,614
23,653
24,718
25,778
26,814
27,889
28,950
29,1063
30,1155
31,1164
32,1168
33,1152
34,1188
35,1287
36,1248
37,1239
38,1264
39,1307
40,1302
41,1261
42,1220
43,1133
44,1136
45,1020
46,937
47,942
48,957
49,947
50,858
51,782
52,832
53,865
54,717
55,700
56,695
57,614
58,595
59,587
60,499
61,472
62,449
63,429
64,370
65,392
66,372
67,345
68,292
69,289
70,287
71,252
72,203
73,215
74,197
75,181
76,165
77,169
78,160
79,144
80,141
81,133
82,123
83,102
84,94
85,83
86,89
87,93
88,93
89,74
90,87
91,57
92,65
93,74
94,71
95,57
96,44
97,57
98,56
99,31
100,32
101,37
102,34
103,35
104,30
105,26
106,32
107,29
108,18
109,32
110,22
111,16
112,19
113,12
114,22
115,14
116,18
117,13
118,13
119,9
120,17
121,15
122,11
123,8
124,12
125,5
126,9
127,12
128,8
129,6
130,8
131,4
132,4
133,8
134,6
135,5
136,1
137,5
138,5
139,4
140,4
141,1
142,6
143,1
144,5
145,4
146,1
147,2
148,2
149,4
150,4
151,2
152,0
153,0
154,5
155,1
156,5
157,2
158,1
159,1
160,2
161,2
162,0
163,0
164,3
165,1
166,1
167,1
168,1
169,3
170,1
171,0
172,1
173,2
174,0
175,0
176,0
177,1
178,1
179,1
180,0
181,0
182,1
183,1
184,1
185,1
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
