value,count
0,38
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,5
9,10
10,10
11,24
12,36
13,68
14,106
15,208
16,380
17,679
18,1124
19,1709
20,2242
21,2412
22,2376
23,2073
24,1884
25,1794
26,1720
27,1688
28,1675
29,1642
30,1531
31,1460
32,1456
33,1407
34,1507
35,1480
36,1439
37,1486
38,1535
39,1507
40,1420
41,1392
42,1350
43,1332
44,1241
45,1202
46,1190
47,1081
48,1051
49,1020
50,984
51,853
52,802
53,801
54,756
55,761
56,725
57,689
58,634
59,594
60,644
61,593
62,509
63,492
64,475
65,468
66,447
67,452
68,439
69,402
70,406
71,378
72,333
73,319
74,284
75,342
76,322
77,336
78,270
79,249
80,261
81,248
82,249
83,247
84,237
85,145
86,115
87,108
88,103
89,86
90,101
91,87
92,81
93,77
94,86
95,76
96,88
97,97
98,75
99,67
100,83
101,60
102,52
103,58
104,61
105,47
106,64
107,47
108,45
109,47
110,44
111,51
112,44
113,31
114,43
115,41
116,38
117,37
118,25
119,24
120,34
121,23
122,23
123,36
124,32
125,17
126,29
127,28
128,21
129,24
130,28
131,20
132,20
133,14
134,16
135,22
136,29
137,16
138,16
139,14
140,22
141,13
142,18
143,16
144,17
145,17
146,13
147,14
148,16
149,17
150,17
151,10
152,15
153,13
154,16
155,16
156,16
157,7
158,13
159,8
160,10
161,11
162,5
163,12
164,6
165,14
166,12
167,14
168,6
169,6
170,5
171,3
172,10
173,8
174,6
175,8
176,7
177,6
178,3
179,4
180,6
181,4
182,1
183,7
184,6
185,4
186,4
187,2
188,5
189,4
190,10
191,7
192,3
193,3
194,3
195,2
196,2
197,5
198,6
199,4
200,6
201,6
202,0
203,3
204,4
205,4
206,5
207,3
208,4
209,1
210,4
211,5
212,2
213,1
214,1
215,4
216,1
217,1
218,1
219,3
220,0
221,1
222,1
223,2
224,1
225,1
226,0
227,2
228,1
229,1
230,0
231,0
232,0
233,2
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
