value,count
0,0
1,0
2,0
3,0
4,0
5,2
6,3
7,4
8,18
9,74
10,159
11,456
12,980
13,1478
14,1885
15,1745
16,1732
17,1620
18,1384
19,1498
20,1518
21,1764
22,2073
23,2252
24,2666
25,3077
26,3531
27,3611
28,3870
29,3959
30,3908
31,4401
32,4830
33,5023
34,5313
35,5619
36,5647
37,5681
38,5835
39,6024
40,6256
41,6468
42,6570
43,6621
44,6584
45,6744
46,6526
47,6497
48,6005
49,5866
50,5636
51,5181
52,5001
53,4709
54,4387
55,4250
56,3935
57,3644
58,3254
59,3071
60,2920
61,2626
62,2565
63,2361
64,2310
65,2228
66,2072
67,1973
68,1810
69,1777
70,1616
71,1522
72,1406
73,1376
74,1234
75,1163
76,1155
77,1057
78,945
79,913
80,898
81,821
82,770
83,752
84,759
85,748
86,695
87,651
88,575
89,556
90,600
91,560
92,585
93,535
94,505
95,471
96,501
97,454
98,411
99,450
100,405
101,423
102,356
103,369
104,349
105,342
106,371
107,382
108,291
109,281
110,252
111,256
112,232
113,232
114,209
115,217
116,173
117,218
118,183
119,161
120,179
121,163
122,153
123,116
124,127
125,106
126,99
127,84
128,86
129,103
130,90
131,92
132,99
133,88
134,89
135,74
136,82
137,92
138,81
139,82
140,64
141,60
142,72
143,58
144,72
145,56
146,80
147,64
148,57
149,51
150,51
151,52
152,63
153,41
154,57
155,52
156,41
157,50
158,52
159,48
160,41
161,42
162,42
163,32
164,38
165,38
166,28
167,24
168,33
169,34
170,43
171,23
172,33
173,37
174,36
175,33
176,45
177,21
178,31
179,25
180,26
181,24
182,15
183,20
184,18
185,18
186,21
187,16
188,15
189,15
190,14
191,12
192,18
193,14
194,13
195,10
196,11
197,13
198,13
199,12
200,9
201,9
202,17
203,12
204,12
205,10
206,12
207,10
208,8
209,13
210,9
211,12
212,18
213,7
214,12
215,11
216,6
217,7
218,8
219,10
220,8
221,11
222,4
223,5
224,9
225,5
226,7
227,11
228,7
229,9
230,6
231,3
232,4
233,5
234,6
235,5
236,10
237,6
238,7
239,11
240,7
241,12
242,9
243,9
244,5
245,11
246,12
247,8
248,11
249,8
250,14
251,8
252,11
253,5
254,0
255,0
