value,count
0,9
1,0
2,0
3,1
4,0
5,3
6,3
7,12
8,42
9,96
10,311
11,706
12,1196
13,1359
14,1691
15,1816
16,2120
17,2367
18,2515
19,3127
20,3426
21,4025
22,4484
23,4904
24,5462
25,5692
26,5969
27,6067
28,5942
29,5693
30,5452
31,5439
32,5503
33,5251
34,5010
35,4677
36,4607
37,4134
38,4280
39,3917
40,3775
41,3678
42,3540
43,3355
44,3270
45,3016
46,2937
47,2732
48,2508
49,2453
50,2126
51,2049
52,1992
53,1985
54,1737
55,1715
56,1670
57,1536
58,1552
59,1536
60,1468
61,1401
62,1331
63,1368
64,1311
65,1137
66,1182
67,1014
68,1038
69,999
70,951
71,933
72,820
73,836
74,765
75,749
76,697
77,630
78,622
79,633
80,617
81,506
82,522
83,513
84,505
85,465
86,434
87,428
88,397
89,370
90,380
91,354
92,335
93,335
94,311
95,292
96,288
97,273
98,280
99,241
100,272
101,223
102,233
103,205
104,186
105,203
106,179
107,175
108,149
109,155
110,163
111,144
112,132
113,137
114,141
115,117
116,130
117,91
118,98
119,98
120,84
121,99
122,90
123,69
124,82
125,69
126,58
127,63
128,67
129,70
130,66
131,64
132,54
133,41
134,51
135,55
136,38
137,52
138,59
139,55
140,51
141,56
142,41
143,45
144,49
145,30
146,34
147,42
148,29
149,33
150,35
151,33
152,38
153,25
154,31
155,37
156,31
157,30
158,33
159,32
160,26
161,21
162,20
163,13
164,29
165,31
166,18
167,23
168,14
169,17
170,24
171,25
172,20
173,22
174,15
175,20
176,22
177,12
178,20
179,14
180,16
181,16
182,12
183,13
184,16
185,9
186,12
187,18
188,12
189,7
190,9
191,11
192,10
193,5
194,11
195,9
196,5
197,5
198,8
199,6
200,6
201,10
202,8
203,5
204,7
205,7
206,3
207,3
208,6
209,6
210,7
211,7
212,6
213,2
214,4
215,3
216,10
217,9
218,10
219,4
220,2
221,3
222,3
223,2
224,1
225,2
226,3
227,1
228,0
229,1
230,2
231,1
232,2
233,3
234,0
235,2
236,1
237,3
238,1
239,0
240,3
241,2
242,0
243,1
244,0
245,3
246,2
247,0
248,1
249,2
250,0
251,1
252,2
253,8
254,2
255,0
