value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,0
9,1
10,0
11,17
12,32
13,68
14,123
15,236
16,239
17,280
18,254
19,340
20,435
21,617
22,817
23,1087
24,1294
25,1532
26,1843
27,2277
28,2746
29,3137
30,3262
31,3714
32,4089
33,4131
34,4301
35,4498
36,4690
37,4798
38,4967
39,5420
40,5654
41,5927
42,6078
43,6105
44,6111
45,6232
46,6187
47,6205
48,5739
49,5641
50,5247
51,4922
52,4677
53,4327
54,3908
55,3805
56,3373
57,3077
58,2788
59,2653
60,2620
61,2404
62,2252
63,2108
64,2035
65,1887
66,1748
67,1644
68,1586
69,1412
70,1342
71,1247
72,1226
73,1125
74,704
75,534
76,518
77,469
78,401
79,397
80,379
81,380
82,343
83,340
84,295
85,312
86,291
87,274
88,270
89,276
90,271
91,259
92,247
93,241
94,218
95,227
96,233
97,198
98,178
99,195
100,180
101,150
102,193
103,165
104,180
105,157
106,164
107,161
108,153
109,143
110,107
111,125
112,109
113,128
114,109
115,105
116,113
117,123
118,104
119,107
120,107
121,84
122,102
123,98
124,102
125,65
126,93
127,77
128,65
129,80
130,60
131,63
132,63
133,65
134,71
135,55
136,53
137,45
138,48
139,48
140,54
141,42
142,57
143,40
144,46
145,44
146,41
147,43
148,49
149,43
150,38
151,50
152,49
153,36
154,29
155,31
156,30
157,30
158,31
159,21
160,26
161,24
162,35
163,28
164,24
165,29
166,22
167,31
168,27
169,23
170,24
171,29
172,18
173,22
174,12
175,23
176,19
177,15
178,18
179,22
180,20
181,21
182,18
183,25
184,18
185,19
186,20
187,18
188,14
189,14
190,12
191,15
192,12
193,14
194,7
195,13
196,12
197,12
198,14
199,13
200,15
201,10
202,13
203,11
204,12
205,12
206,18
207,11
208,11
209,7
210,12
211,5
212,5
213,10
214,6
215,6
216,6
217,4
218,6
219,3
220,4
221,6
222,5
223,4
224,2
225,3
226,2
227,5
228,2
229,1
230,0
231,3
232,4
233,0
234,2
235,1
236,0
237,4
238,1
239,0
240,5
241,3
242,1
243,0
244,0
245,0
246,4
247,0
248,3
249,2
250,1
251,2
252,0
253,0
254,1
255,0
