value,count
0,125
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,2
9,4
10,5
11,20
12,68
13,138
14,327
15,455
16,637
17,665
18,712
19,779
20,955
21,1150
22,1438
23,1830
24,2319
25,2795
26,3171
27,3266
28,3183
29,3284
30,3193
31,3274
32,3486
33,3507
34,3538
35,3714
36,3857
37,3845
38,3882
39,3951
40,4067
41,4174
42,4280
43,4123
44,4260
45,4163
46,3967
47,3724
48,3540
49,3180
50,2944
51,2958
52,2652
53,2493
54,2289
55,2198
56,2019
57,1990
58,1879
59,1707
60,1658
61,1616
62,1601
63,1558
64,1472
65,1421
66,1334
67,1284
68,1266
69,1209
70,1166
71,1056
72,1035
73,1019
74,962
75,927
76,850
77,898
78,816
79,905
80,813
81,792
82,772
83,763
84,746
85,716
86,674
87,670
88,556
89,629
90,634
91,602
92,628
93,559
94,520
95,442
96,436
97,422
98,411
99,394
100,388
101,354
102,344
103,342
104,327
105,347
106,324
107,314
108,325
109,330
110,311
111,272
112,293
113,256
114,234
115,222
116,202
117,193
118,173
119,182
120,159
121,155
122,154
123,143
124,150
125,130
126,117
127,133
128,112
129,105
130,113
131,104
132,98
133,95
134,84
135,90
136,56
137,75
138,57
139,68
140,53
141,50
142,72
143,53
144,67
145,49
146,45
147,41
148,51
149,51
150,43
151,45
152,45
153,40
154,39
155,32
156,38
157,26
158,41
159,34
160,34
161,35
162,24
163,36
164,34
165,34
166,30
167,39
168,27
169,27
170,26
171,23
172,24
173,29
174,27
175,24
176,23
177,13
178,21
179,25
180,21
181,19
182,26
183,18
184,18
185,18
186,9
187,16
188,11
189,12
190,11
191,17
192,12
193,8
194,11
195,10
196,12
197,6
198,7
199,7
200,5
201,4
202,7
203,10
204,7
205,6
206,5
207,2
208,2
209,3
210,3
211,4
212,7
213,4
214,2
215,1
216,4
217,3
218,3
219,3
220,1
221,1
222,2
223,1
224,3
225,1
226,1
227,1
228,2
229,1
230,2
231,1
232,1
233,0
234,2
235,1
236,3
237,2
238,2
239,2
240,4
241,3
242,6
243,4
244,7
245,2
246,3
247,3
248,2
249,0
250,6
251,2
252,1
253,2
254,1
255,0
