value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,2
18,4
19,7
20,14
21,19
22,40
23,40
24,101
25,118
26,133
27,116
28,157
29,186
30,160
31,201
32,244
33,322
34,352
35,436
36,460
37,549
38,625
39,757
40,809
41,890
42,971
43,1081
44,1217
45,1151
46,1259
47,1361
48,1450
49,1455
50,1546
51,1551
52,1618
53,1648
54,1606
55,1634
56,1641
57,1804
58,1791
59,1824
60,1703
61,1678
62,1619
63,1561
64,1468
65,1372
66,1349
67,1335
68,1283
69,1217
70,1136
71,1087
72,1021
73,960
74,900
75,883
76,809
77,755
78,726
79,713
80,698
81,694
82,671
83,611
84,478
85,436
86,379
87,364
88,337
89,331
90,297
91,268
92,246
93,230
94,200
95,189
96,178
97,149
98,166
99,148
100,125
101,104
102,82
103,80
104,68
105,62
106,62
107,56
108,31
109,24
110,25
111,10
112,18
113,13
114,13
115,18
116,17
117,9
118,14
119,4
120,7
121,9
122,3
123,2
124,4
125,8
126,2
127,2
128,1
129,1
130,1
131,0
132,4
133,0
134,3
135,0
136,1
137,0
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,0
152,0
153,1
154,0
155,0
156,0
157,1
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,0
170,0
171,2
172,0
173,0
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
