value,count
0,0
1,0
2,1
3,0
4,1
5,0
6,0
7,6
8,7
9,46
10,75
11,89
12,151
13,253
14,389
15,424
16,560
17,639
18,639
19,603
20,681
21,690
22,657
23,597
24,606
25,680
26,744
27,879
28,977
29,1142
30,1259
31,1471
32,1603
33,1818
34,2129
35,2362
36,2696
37,3221
38,3588
39,3904
40,4113
41,4306
42,4465
43,4765
44,4858
45,4862
46,4767
47,4639
48,4705
49,4578
50,4350
51,4131
52,3848
53,3755
54,3387
55,3223
56,2980
57,2751
58,2366
59,2313
60,2143
61,1979
62,1835
63,1670
64,1579
65,1358
66,1293
67,1174
68,1024
69,991
70,914
71,862
72,734
73,718
74,732
75,589
76,601
77,583
78,522
79,512
80,496
81,470
82,450
83,446
84,415
85,331
86,341
87,312
88,318
89,283
90,292
91,284
92,251
93,264
94,258
95,234
96,187
97,208
98,192
99,193
100,176
101,151
102,162
103,162
104,150
105,110
106,145
107,106
108,136
109,116
110,105
111,119
112,110
113,95
114,122
115,89
116,78
117,95
118,95
119,78
120,77
121,79
122,64
123,64
124,60
125,65
126,67
127,57
128,60
129,60
130,62
131,67
132,40
133,62
134,51
135,57
136,46
137,61
138,55
139,50
140,47
141,44
142,39
143,43
144,39
145,51
146,46
147,46
148,31
149,31
150,28
151,31
152,34
153,32
154,37
155,26
156,35
157,19
158,25
159,20
160,21
161,25
162,19
163,37
164,26
165,32
166,27
167,11
168,18
169,27
170,17
171,22
172,17
173,23
174,19
175,19
176,24
177,20
178,12
179,18
180,13
181,19
182,15
183,19
184,14
185,15
186,17
187,14
188,4
189,5
190,12
191,7
192,12
193,13
194,14
195,15
196,10
197,14
198,15
199,7
200,5
201,10
202,12
203,1
204,14
205,10
206,7
207,8
208,5
209,7
210,15
211,8
212,9
213,5
214,6
215,9
216,5
217,6
218,5
219,5
220,5
221,0
222,3
223,6
224,3
225,0
226,3
227,5
228,1
229,1
230,3
231,2
232,2
233,1
234,1
235,2
236,3
237,2
238,1
239,0
240,1
241,2
242,2
243,4
244,0
245,1
246,1
247,0
248,1
249,0
250,3
251,1
252,2
253,0
254,0
255,0
