value,count
0,0
1,0
2,1
3,0
4,1
5,2
6,5
7,7
8,4
9,9
10,16
11,18
12,29
13,46
14,68
15,102
16,154
17,216
18,380
19,533
20,962
21,1834
22,2855
23,4080
24,5208
25,6279
26,7683
27,9126
28,10124
29,11108
30,10922
31,11020
32,10781
33,10316
34,10491
35,10797
36,10910
37,11009
38,10563
39,10535
40,10084
41,9753
42,9158
43,8839
44,8031
45,7466
46,7198
47,7026
48,6704
49,6736
50,6473
51,6063
52,5882
53,5514
54,5105
55,4608
56,4259
57,3701
58,3380
59,2949
60,2616
61,2483
62,2160
63,2202
64,1776
65,1613
66,1498
67,1453
68,1321
69,1198
70,1146
71,1024
72,1014
73,933
74,847
75,827
76,762
77,694
78,665
79,627
80,589
81,574
82,585
83,537
84,469
85,460
86,389
87,393
88,386
89,333
90,339
91,338
92,320
93,282
94,300
95,260
96,259
97,238
98,221
99,259
100,189
101,216
102,210
103,200
104,206
105,177
106,199
107,169
108,163
109,136
110,177
111,144
112,119
113,113
114,105
115,126
116,115
117,114
118,95
119,102
120,118
121,117
122,99
123,98
124,98
125,94
126,96
127,80
128,100
129,79
130,83
131,63
132,78
133,70
134,69
135,67
136,65
137,56
138,57
139,53
140,73
141,77
142,54
143,55
144,57
145,68
146,43
147,58
148,66
149,52
150,43
151,73
152,60
153,56
154,63
155,47
156,54
157,58
158,55
159,53
160,49
161,53
162,51
163,41
164,55
165,56
166,51
167,54
168,39
169,47
170,50
171,50
172,45
173,42
174,49
175,44
176,56
177,45
178,46
179,40
180,45
181,48
182,40
183,35
184,40
185,29
186,18
187,36
188,33
189,34
190,36
191,41
192,28
193,37
194,32
195,29
196,28
197,29
198,20
199,29
200,25
201,18
202,26
203,27
204,32
205,25
206,21
207,26
208,27
209,25
210,30
211,32
212,27
213,22
214,32
215,31
216,24
217,32
218,24
219,22
220,23
221,26
222,24
223,21
224,23
225,11
226,18
227,24
228,21
229,17
230,25
231,14
232,15
233,16
234,15
235,15
236,19
237,19
238,15
239,16
240,20
241,24
242,22
243,14
244,28
245,20
246,26
247,22
248,21
249,24
250,20
251,21
252,20
253,28
254,21
255,13
