value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,1
20,2
21,5
22,30
23,54
24,95
25,166
26,194
27,274
28,315
29,420
30,505
31,609
32,681
33,769
34,813
35,1017
36,1075
37,1073
38,1173
39,1115
40,1190
41,1229
42,1247
43,1279
44,1337
45,1349
46,1408
47,1389
48,1388
49,1356
50,1340
51,1319
52,1238
53,1302
54,1190
55,1129
56,980
57,938
58,849
59,825
60,798
61,820
62,790
63,718
64,734
65,697
66,606
67,529
68,487
69,428
70,410
71,375
72,295
73,281
74,226
75,191
76,141
77,155
78,125
79,105
80,114
81,77
82,75
83,51
84,54
85,27
86,28
87,29
88,23
89,20
90,12
91,13
92,15
93,16
94,7
95,13
96,10
97,7
98,11
99,4
100,5
101,1
102,5
103,6
104,5
105,7
106,7
107,6
108,10
109,2
110,1
111,0
112,3
113,1
114,4
115,3
116,3
117,0
118,1
119,4
120,0
121,0
122,0
123,0
124,1
125,1
126,3
127,0
128,0
129,0
130,0
131,0
132,1
133,2
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
