value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,4
15,4
16,5
17,9
18,19
19,29
20,54
21,110
22,229
23,348
24,503
25,733
26,1095
27,1593
28,1961
29,2378
30,2677
31,3084
32,3431
33,3910
34,4201
35,4308
36,4718
37,4747
38,4761
39,4712
40,4427
41,4252
42,4019
43,3865
44,3620
45,3584
46,3382
47,3331
48,3169
49,3070
50,2975
51,2827
52,2664
53,2526
54,2417
55,2253
56,2249
57,2157
58,2113
59,1911
60,1849
61,1769
62,1770
63,1631
64,1687
65,1585
66,1486
67,1437
68,1355
69,1302
70,1264
71,1176
72,1151
73,1055
74,1007
75,932
76,857
77,856
78,828
79,795
80,817
81,776
82,711
83,686
84,685
85,612
86,663
87,593
88,607
89,519
90,573
91,547
92,501
93,491
94,488
95,446
96,416
97,476
98,409
99,379
100,371
101,380
102,335
103,349
104,391
105,321
106,352
107,298
108,294
109,285
110,275
111,272
112,218
113,262
114,248
115,216
116,238
117,208
118,188
119,158
120,165
121,171
122,161
123,158
124,140
125,146
126,112
127,140
128,124
129,105
130,113
131,95
132,84
133,106
134,87
135,86
136,88
137,96
138,92
139,67
140,80
141,93
142,73
143,65
144,61
145,62
146,58
147,60
148,48
149,67
150,50
151,55
152,55
153,56
154,61
155,43
156,48
157,32
158,54
159,44
160,49
161,32
162,31
163,42
164,41
165,37
166,38
167,31
168,37
169,38
170,44
171,32
172,29
173,23
174,24
175,32
176,32
177,31
178,21
179,30
180,24
181,20
182,29
183,25
184,21
185,24
186,16
187,22
188,15
189,15
190,13
191,9
192,17
193,11
194,12
195,23
196,14
197,15
198,13
199,14
200,14
201,15
202,11
203,14
204,10
205,13
206,23
207,15
208,14
209,13
210,10
211,8
212,8
213,6
214,8
215,7
216,13
217,6
218,10
219,3
220,2
221,2
222,3
223,10
224,5
225,3
226,4
227,7
228,5
229,5
230,2
231,2
232,3
233,2
234,5
235,1
236,1
237,3
238,2
239,3
240,2
241,0
242,2
243,0
244,2
245,4
246,2
247,1
248,3
249,1
250,2
251,1
252,0
253,1
254,0
255,0
