value,count
0,1
1,2
2,3
3,5
4,9
5,4
6,9
7,14
8,31
9,116
10,230
11,397
12,720
13,854
14,863
15,890
16,1004
17,1097
18,1139
19,1466
20,2084
21,3170
22,4359
23,5359
24,6485
25,7571
26,9081
27,10587
28,10841
29,10955
30,10133
31,9501
32,8907
33,8168
34,7901
35,7158
36,6937
37,6294
38,5857
39,5496
40,4971
41,4639
42,4141
43,3782
44,3620
45,3373
46,3183
47,3157
48,3043
49,2949
50,2806
51,2689
52,2527
53,2473
54,2352
55,2163
56,2118
57,2075
58,1930
59,1739
60,1414
61,1335
62,1249
63,1282
64,1205
65,1162
66,1102
67,1018
68,997
69,939
70,901
71,772
72,778
73,845
74,758
75,667
76,665
77,589
78,566
79,524
80,486
81,457
82,444
83,415
84,425
85,403
86,357
87,363
88,331
89,340
90,311
91,312
92,336
93,317
94,304
95,289
96,263
97,237
98,223
99,259
100,206
101,208
102,191
103,187
104,180
105,166
106,182
107,153
108,156
109,147
110,147
111,145
112,134
113,148
114,151
115,132
116,126
117,106
118,117
119,111
120,102
121,119
122,109
123,112
124,91
125,101
126,93
127,70
128,79
129,75
130,71
131,56
132,59
133,65
134,56
135,69
136,67
137,74
138,56
139,52
140,51
141,66
142,59
143,44
144,50
145,43
146,28
147,40
148,47
149,38
150,41
151,48
152,47
153,32
154,41
155,38
156,31
157,26
158,35
159,36
160,40
161,24
162,32
163,35
164,31
165,23
166,41
167,25
168,29
169,20
170,20
171,18
172,18
173,25
174,33
175,18
176,31
177,23
178,28
179,15
180,32
181,17
182,29
183,21
184,18
185,24
186,21
187,14
188,22
189,20
190,12
191,20
192,20
193,20
194,15
195,10
196,17
197,7
198,13
199,10
200,18
201,17
202,11
203,17
204,10
205,11
206,12
207,12
208,9
209,9
210,15
211,8
212,13
213,13
214,5
215,9
216,7
217,12
218,12
219,16
220,8
221,8
222,7
223,7
224,9
225,5
226,8
227,6
228,5
229,7
230,3
231,6
232,11
233,5
234,5
235,1
236,2
237,3
238,3
239,1
240,4
241,7
242,0
243,1
244,3
245,3
246,6
247,5
248,3
249,12
250,5
251,15
252,16
253,8
254,12
255,5
