value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,0
11,5
12,4
13,20
14,43
15,90
16,194
17,241
18,232
19,239
20,272
21,198
22,199
23,224
24,240
25,238
26,262
27,260
28,283
29,270
30,383
31,471
32,477
33,533
34,578
35,570
36,621
37,655
38,622
39,718
40,718
41,764
42,757
43,867
44,935
45,1065
46,1097
47,1110
48,1197
49,1299
50,1351
51,1517
52,1554
53,1579
54,1621
55,1631
56,1739
57,1674
58,1562
59,1419
60,1355
61,1512
62,1499
63,1462
64,1459
65,1417
66,1452
67,1391
68,1294
69,1270
70,1267
71,1210
72,1117
73,1050
74,996
75,895
76,888
77,783
78,713
79,666
80,582
81,540
82,490
83,510
84,439
85,447
86,439
87,422
88,365
89,356
90,321
91,317
92,298
93,259
94,257
95,218
96,235
97,170
98,194
99,139
100,163
101,136
102,107
103,120
104,93
105,92
106,87
107,88
108,80
109,70
110,70
111,66
112,58
113,62
114,57
115,59
116,54
117,54
118,53
119,48
120,39
121,50
122,29
123,44
124,31
125,30
126,25
127,31
128,29
129,28
130,21
131,22
132,28
133,23
134,21
135,26
136,25
137,22
138,15
139,15
140,13
141,22
142,11
143,19
144,11
145,12
146,15
147,11
148,20
149,10
150,17
151,9
152,11
153,9
154,16
155,9
156,7
157,11
158,7
159,5
160,9
161,6
162,10
163,9
164,9
165,5
166,4
167,14
168,8
169,7
170,9
171,5
172,6
173,6
174,5
175,4
176,8
177,9
178,5
179,2
180,6
181,6
182,10
183,3
184,1
185,1
186,2
187,4
188,3
189,3
190,1
191,2
192,7
193,1
194,2
195,1
196,3
197,1
198,3
199,3
200,3
201,2
202,3
203,2
204,5
205,6
206,1
207,6
208,4
209,4
210,1
211,5
212,1
213,2
214,3
215,2
216,2
217,1
218,1
219,0
220,1
221,1
222,1
223,0
224,0
225,2
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
