value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,1
13,3
14,0
15,0
16,4
17,3
18,17
19,39
20,55
21,106
22,146
23,127
24,128
25,159
26,143
27,183
28,211
29,229
30,259
31,324
32,368
33,447
34,496
35,574
36,708
37,767
38,936
39,1001
40,1117
41,1204
42,1330
43,1441
44,1433
45,1578
46,1583
47,1658
48,1853
49,1923
50,2019
51,2035
52,2007
53,1992
54,2018
55,2083
56,2023
57,1994
58,1941
59,1885
60,1684
61,1714
62,1636
63,1568
64,1591
65,1654
66,1470
67,1551
68,1449
69,1339
70,1301
71,1178
72,1121
73,1096
74,1029
75,933
76,847
77,792
78,831
79,723
80,668
81,666
82,597
83,572
84,525
85,491
86,439
87,476
88,428
89,439
90,355
91,399
92,397
93,356
94,355
95,370
96,317
97,323
98,299
99,319
100,294
101,291
102,245
103,260
104,267
105,253
106,206
107,213
108,241
109,210
110,211
111,201
112,179
113,173
114,200
115,198
116,180
117,157
118,170
119,159
120,156
121,187
122,161
123,157
124,139
125,150
126,130
127,121
128,114
129,117
130,108
131,94
132,98
133,82
134,103
135,80
136,79
137,63
138,70
139,65
140,66
141,68
142,78
143,63
144,56
145,61
146,55
147,65
148,54
149,49
150,57
151,59
152,51
153,42
154,62
155,61
156,40
157,48
158,41
159,52
160,39
161,39
162,34
163,49
164,34
165,29
166,38
167,29
168,29
169,23
170,34
171,30
172,33
173,29
174,32
175,40
176,26
177,31
178,28
179,25
180,22
181,26
182,32
183,17
184,16
185,22
186,16
187,19
188,17
189,26
190,22
191,21
192,24
193,22
194,16
195,16
196,17
197,31
198,13
199,14
200,15
201,13
202,11
203,21
204,19
205,8
206,13
207,20
208,16
209,16
210,16
211,9
212,14
213,15
214,16
215,10
216,17
217,13
218,11
219,9
220,6
221,10
222,4
223,6
224,8
225,7
226,2
227,7
228,6
229,6
230,5
231,4
232,3
233,5
234,5
235,5
236,5
237,4
238,5
239,2
240,4
241,6
242,5
243,2
244,2
245,2
246,0
247,3
248,5
249,3
250,5
251,7
252,5
253,6
254,3
255,1
