value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,5
14,3
15,2
16,10
17,28
18,64
19,59
20,62
21,82
22,76
23,120
24,139
25,167
26,204
27,254
28,315
29,454
30,601
31,893
32,1304
33,1473
34,1848
35,2158
36,2740
37,3062
38,3443
39,3806
40,4253
41,4413
42,4493
43,4726
44,4649
45,4751
46,5063
47,5228
48,5520
49,5779
50,5920
51,5964
52,5805
53,5848
54,5579
55,5596
56,5246
57,5285
58,5155
59,4983
60,4786
61,4404
62,4154
63,4008
64,3902
65,3811
66,3761
67,3521
68,3484
69,3203
70,3005
71,2741
72,2560
73,2623
74,2330
75,2182
76,2047
77,2002
78,1964
79,1756
80,1682
81,1571
82,1534
83,1464
84,1322
85,1378
86,1227
87,1262
88,1133
89,1136
90,1132
91,867
92,740
93,717
94,675
95,560
96,486
97,446
98,418
99,414
100,393
101,356
102,326
103,304
104,338
105,284
106,263
107,275
108,263
109,293
110,260
111,250
112,233
113,192
114,178
115,182
116,189
117,175
118,160
119,136
120,145
121,140
122,140
123,152
124,134
125,114
126,110
127,98
128,95
129,85
130,86
131,92
132,74
133,71
134,69
135,67
136,74
137,46
138,79
139,64
140,58
141,56
142,69
143,64
144,49
145,47
146,45
147,37
148,43
149,43
150,43
151,41
152,31
153,28
154,42
155,38
156,32
157,41
158,34
159,35
160,33
161,34
162,26
163,31
164,34
165,37
166,32
167,31
168,27
169,32
170,22
171,35
172,18
173,19
174,24
175,22
176,19
177,22
178,23
179,23
180,15
181,23
182,21
183,24
184,17
185,29
186,19
187,25
188,19
189,21
190,19
191,21
192,19
193,16
194,15
195,17
196,13
197,19
198,16
199,15
200,12
201,20
202,10
203,9
204,8
205,13
206,9
207,12
208,11
209,10
210,15
211,20
212,18
213,14
214,14
215,14
216,10
217,9
218,8
219,6
220,3
221,8
222,6
223,2
224,2
225,3
226,6
227,4
228,3
229,1
230,0
231,0
232,1
233,2
234,0
235,3
236,1
237,0
238,0
239,1
240,0
241,1
242,0
243,0
244,3
245,0
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,0
