value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,3
18,3
19,11
20,13
21,10
22,27
23,45
24,72
25,104
26,136
27,126
28,141
29,172
30,204
31,212
32,259
33,246
34,314
35,341
36,375
37,341
38,351
39,363
40,420
41,501
42,542
43,677
44,715
45,818
46,979
47,976
48,1007
49,1119
50,1144
51,1151
52,1250
53,1297
54,1295
55,1379
56,1394
57,1362
58,1310
59,1345
60,1329
61,1334
62,1340
63,1361
64,1356
65,1353
66,1348
67,1332
68,1327
69,1251
70,1245
71,1206
72,1148
73,1120
74,1037
75,1022
76,983
77,955
78,971
79,747
80,768
81,697
82,671
83,639
84,637
85,551
86,531
87,509
88,505
89,470
90,425
91,389
92,268
93,199
94,189
95,176
96,148
97,117
98,150
99,116
100,112
101,110
102,102
103,128
104,104
105,92
106,95
107,79
108,80
109,90
110,83
111,77
112,82
113,64
114,60
115,72
116,66
117,73
118,57
119,48
120,46
121,36
122,29
123,24
124,23
125,17
126,23
127,19
128,18
129,18
130,14
131,10
132,16
133,15
134,7
135,13
136,9
137,7
138,4
139,11
140,7
141,7
142,8
143,2
144,5
145,4
146,2
147,4
148,4
149,1
150,3
151,4
152,3
153,4
154,1
155,2
156,1
157,0
158,0
159,4
160,1
161,3
162,0
163,3
164,2
165,0
166,1
167,3
168,1
169,1
170,1
171,2
172,1
173,1
174,0
175,0
176,0
177,3
178,1
179,0
180,0
181,1
182,0
183,2
184,1
185,1
186,0
187,0
188,0
189,2
190,1
191,1
192,0
193,0
194,1
195,1
196,0
197,0
198,1
199,0
200,1
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
