value,count
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,1
9,2
10,1
11,3
12,4
13,6
14,6
15,9
16,24
17,18
18,28
19,36
20,33
21,49
22,59
23,70
24,105
25,152
26,199
27,357
28,491
29,657
30,724
31,808
32,852
33,945
34,1019
35,1190
36,1296
37,1453
38,1606
39,1689
40,1660
41,1811
42,1861
43,1902
44,1847
45,1855
46,1830
47,1728
48,1593
49,1534
50,1467
51,1295
52,1232
53,1201
54,1169
55,1098
56,1160
57,1037
58,943
59,1062
60,897
61,898
62,851
63,898
64,793
65,771
66,747
67,770
68,667
69,649
70,649
71,622
72,568
73,581
74,539
75,540
76,512
77,489
78,491
79,493
80,484
81,450
82,390
83,432
84,400
85,404
86,384
87,342
88,337
89,358
90,314
91,250
92,247
93,248
94,266
95,246
96,280
97,236
98,237
99,249
100,243
101,228
102,239
103,195
104,196
105,214
106,153
107,145
108,138
109,119
110,135
111,143
112,125
113,140
114,114
115,107
116,120
117,92
118,90
119,103
120,87
121,86
122,88
123,112
124,98
125,90
126,60
127,60
128,63
129,59
130,62
131,56
132,59
133,57
134,58
135,45
136,46
137,62
138,31
139,46
140,41
141,27
142,29
143,33
144,37
145,39
146,23
147,25
148,29
149,25
150,32
151,21
152,24
153,23
154,26
155,31
156,23
157,17
158,16
159,21
160,15
161,16
162,21
163,18
164,16
165,14
166,14
167,20
168,14
169,16
170,16
171,16
172,16
173,14
174,10
175,10
176,19
177,18
178,10
179,9
180,16
181,11
182,9
183,9
184,10
185,16
186,15
187,22
188,7
189,11
190,12
191,19
192,12
193,12
194,4
195,6
196,10
197,10
198,12
199,4
200,8
201,13
202,10
203,4
204,8
205,7
206,11
207,8
208,7
209,9
210,10
211,10
212,11
213,3
214,9
215,9
216,8
217,4
218,7
219,6
220,7
221,4
222,5
223,6
224,2
225,9
226,4
227,3
228,4
229,0
230,1
231,3
232,5
233,1
234,1
235,3
236,2
237,2
238,2
239,4
240,3
241,2
242,1
243,1
244,1
245,1
246,5
247,2
248,4
249,1
250,3
251,3
252,5
253,15
254,12
255,0
