value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,7
10,13
11,36
12,79
13,125
14,112
15,137
16,185
17,196
18,241
19,312
20,395
21,438
22,462
23,583
24,740
25,778
26,717
27,869
28,1008
29,1046
30,1110
31,1170
32,1266
33,1273
34,1504
35,1482
36,1720
37,1719
38,1732
39,1682
40,1679
41,1792
42,1747
43,1806
44,1807
45,1737
46,1706
47,1593
48,1577
49,1507
50,1439
51,1311
52,1230
53,1139
54,1165
55,1036
56,1035
57,1041
58,912
59,856
60,827
61,807
62,744
63,634
64,622
65,567
66,570
67,448
68,431
69,363
70,324
71,281
72,268
73,253
74,219
75,203
76,163
77,143
78,139
79,134
80,119
81,69
82,57
83,69
84,55
85,57
86,33
87,35
88,35
89,31
90,32
91,28
92,22
93,17
94,19
95,23
96,24
97,23
98,20
99,13
100,17
101,13
102,18
103,14
104,13
105,11
106,8
107,8
108,12
109,14
110,15
111,11
112,15
113,9
114,12
115,14
116,12
117,5
118,2
119,2
120,3
121,1
122,3
123,0
124,4
125,1
126,2
127,3
128,0
129,2
130,2
131,1
132,4
133,3
134,6
135,1
136,2
137,2
138,0
139,0
140,1
141,1
142,1
143,2
144,0
145,0
146,0
147,0
148,0
149,2
150,0
151,1
152,1
153,0
154,0
155,0
156,0
157,0
158,1
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
