value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,5
18,10
19,7
20,49
21,99
22,154
23,243
24,361
25,507
26,644
27,757
28,922
29,1116
30,1235
31,1362
32,1384
33,1573
34,1705
35,1782
36,1899
37,2036
38,1946
39,2038
40,2019
41,2177
42,2073
43,2132
44,2211
45,2120
46,2125
47,2090
48,2042
49,1960
50,1867
51,1645
52,1681
53,1685
54,1464
55,1425
56,1303
57,1178
58,1070
59,1017
60,958
61,949
62,965
63,854
64,871
65,792
66,788
67,744
68,763
69,694
70,675
71,696
72,649
73,626
74,601
75,586
76,539
77,537
78,467
79,479
80,492
81,467
82,469
83,435
84,462
85,491
86,461
87,449
88,432
89,449
90,441
91,428
92,300
93,280
94,278
95,185
96,177
97,134
98,147
99,166
100,162
101,133
102,135
103,145
104,128
105,117
106,109
107,127
108,107
109,104
110,102
111,83
112,88
113,91
114,88
115,88
116,66
117,52
118,62
119,51
120,59
121,46
122,47
123,50
124,45
125,32
126,39
127,38
128,20
129,35
130,34
131,30
132,21
133,23
134,31
135,31
136,27
137,18
138,20
139,21
140,19
141,23
142,23
143,14
144,25
145,17
146,15
147,12
148,12
149,12
150,14
151,15
152,13
153,14
154,15
155,14
156,14
157,9
158,8
159,8
160,5
161,8
162,8
163,8
164,1
165,11
166,4
167,3
168,3
169,3
170,6
171,5
172,5
173,4
174,3
175,4
176,3
177,5
178,3
179,7
180,3
181,2
182,1
183,1
184,1
185,0
186,2
187,0
188,0
189,0
190,2
191,2
192,1
193,3
194,2
195,1
196,3
197,3
198,0
199,2
200,3
201,1
202,1
203,1
204,1
205,1
206,1
207,0
208,2
209,0
210,2
211,1
212,0
213,2
214,1
215,0
216,1
217,2
218,0
219,1
220,1
221,0
222,0
223,1
224,1
225,0
226,1
227,1
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,1
244,0
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,0
