value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,4
11,9
12,1
13,17
14,21
15,58
16,112
17,175
18,271
19,446
20,784
21,1257
22,1867
23,2423
24,3161
25,3909
26,5003
27,6189
28,6943
29,7707
30,7765
31,7946
32,7711
33,7524
34,7219
35,7258
36,7403
37,7408
38,7380
39,7272
40,7267
41,6843
42,6327
43,6201
44,5878
45,5738
46,5527
47,5205
48,5345
49,5062
50,4853
51,4523
52,4408
53,4173
54,3766
55,3502
56,3290
57,2955
58,2753
59,2605
60,2400
61,2225
62,2127
63,1918
64,1871
65,1802
66,1634
67,1520
68,1439
69,1295
70,1190
71,1101
72,1026
73,956
74,755
75,504
76,447
77,405
78,376
79,336
80,317
81,304
82,276
83,264
84,238
85,275
86,233
87,231
88,250
89,231
90,229
91,218
92,188
93,217
94,212
95,189
96,195
97,204
98,197
99,190
100,182
101,173
102,189
103,175
104,179
105,151
106,133
107,161
108,166
109,156
110,136
111,126
112,138
113,146
114,122
115,139
116,129
117,139
118,125
119,126
120,130
121,120
122,115
123,101
124,87
125,121
126,91
127,81
128,77
129,68
130,62
131,60
132,71
133,65
134,61
135,48
136,54
137,51
138,53
139,63
140,54
141,44
142,65
143,39
144,38
145,47
146,36
147,40
148,44
149,41
150,38
151,37
152,40
153,35
154,41
155,39
156,35
157,42
158,45
159,43
160,47
161,33
162,42
163,28
164,31
165,50
166,54
167,37
168,24
169,34
170,37
171,48
172,39
173,35
174,40
175,37
176,50
177,46
178,30
179,42
180,48
181,40
182,44
183,34
184,27
185,6
186,6
187,9
188,8
189,7
190,5
191,8
192,6
193,8
194,9
195,3
196,7
197,4
198,6
199,7
200,4
201,9
202,10
203,8
204,9
205,4
206,3
207,11
208,5
209,4
210,3
211,1
212,4
213,3
214,2
215,1
216,2
217,1
218,2
219,3
220,1
221,1
222,2
223,0
224,1
225,1
226,1
227,0
228,0
229,1
230,0
231,1
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,1
246,0
247,2
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
